Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,13.0,2022,189
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,189
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass complete short right to David Montgomery for 1 yard (tackle by Quay Walker),0.61,0.2,13.0,2022,189
1.0,14:29,2.0,9.0,CHI 26,0.0,0.0,David Montgomery left tackle for 8 yards (tackle by Preston Smith),0.2,0.56,13.0,2022,189
1.0,13:59,3.0,1.0,CHI 34,0.0,0.0,David Montgomery right guard for 3 yards (tackle by Dean Lowry),0.56,1.4,13.0,2022,189
1.0,13:34,1.0,10.0,CHI 37,0.0,0.0,Justin Fields pass complete deep right to Equanimeous St. Brown for 24 yards (tackle by Rudy Ford),1.4,2.98,13.0,2022,189
1.0,12:54,1.0,10.0,GNB 39,0.0,0.0,Justin Fields pass incomplete short left intended for Cole Kmet,2.98,2.44,13.0,2022,189
1.0,12:49,2.0,10.0,GNB 39,0.0,0.0,Justin Fields right end for 9 yards (tackle by Adrian Amos),2.44,2.94,13.0,2022,189
1.0,12:14,3.0,1.0,GNB 30,0.0,0.0,Justin Fields right guard for 1 yard (tackle by Kingsley Enagbare and Quay Walker),2.94,3.64,13.0,2022,189
1.0,11:27,,,,,,Timeout #1 by Chicago Bears,,,13.0,2022,189
1.0,11:27,1.0,10.0,GNB 29,0.0,0.0,Equanimeous St. Brown scrambles right end for 1 yard (tackle by Dean Lowry),3.64,3.24,13.0,2022,189
1.0,10:47,2.0,9.0,GNB 28,0.0,0.0,Darrynton Evans left guard for no gain (tackle by Kenny Clark and Keisean Nixon),3.24,2.54,13.0,2022,189
1.0,10:11,3.0,9.0,GNB 28,0.0,0.0,Justin Fields scrambles left end for 6 yards (tackle by Jaire Alexander and Quay Walker),2.54,2.09,13.0,2022,189
1.0,9:27,4.0,3.0,GNB 22,0.0,3.0,Cairo Santos 40 yard field goal good,2.09,3.0,13.0,2022,189
1.0,9:23,,,CHI 35,0.0,3.0,"Trenton Gill kicks off 65 yards, returned by Keisean Nixon for 18 yards (tackle by Josh Blackwell)",0.0,0.04,13.0,2022,189
1.0,9:17,1.0,10.0,GNB 18,0.0,3.0,Aaron Rodgers pass incomplete short middle intended for Marcedes Lewis,0.04,-0.49,13.0,2022,189
1.0,9:13,2.0,10.0,GNB 18,0.0,3.0,Aaron Rodgers pass complete short left to Aaron Jones for 9 yards (tackle by Jack Sanborn),-0.49,-0.02,13.0,2022,189
1.0,8:34,3.0,1.0,GNB 27,0.0,3.0,AJ Dillon left guard for 2 yards (tackle by Jack Sanborn and Dominique Robinson),-0.02,0.87,13.0,2022,189
1.0,7:53,1.0,10.0,GNB 29,0.0,3.0,Aaron Jones right guard for 5 yards (tackle by Dominique Robinson),0.87,1.0,13.0,2022,189
1.0,7:09,2.0,5.0,GNB 34,0.0,3.0,Aaron Jones left end for -7 yards (tackle by DeAndre Houston-Carson),1.0,-0.63,13.0,2022,189
1.0,6:24,3.0,12.0,GNB 27,0.0,3.0,Aaron Rodgers pass complete short middle to Aaron Jones for 5 yards (tackle by Jack Sanborn and Armon Watts),-0.63,-1.24,13.0,2022,189
1.0,5:48,4.0,7.0,GNB 32,0.0,3.0,"Pat O'Donnell punts 38 yards, fair catch by Dante Pettis at CHI-30",-1.24,-0.94,13.0,2022,189
1.0,5:39,1.0,10.0,CHI 30,0.0,3.0,David Montgomery right tackle for 3 yards (tackle by Jarran Reed and Jonathan Garvin),0.94,0.8,13.0,2022,189
1.0,5:03,2.0,7.0,CHI 33,0.0,3.0,David Montgomery left guard for 2 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),0.8,0.37,13.0,2022,189
1.0,4:27,3.0,5.0,CHI 35,0.0,3.0,Justin Fields pass complete short right to Cole Kmet for 10 yards (tackle by De'Vondre Campbell),0.37,1.93,13.0,2022,189
1.0,3:49,1.0,10.0,CHI 45,0.0,3.0,David Montgomery left tackle for no gain (tackle by Kenny Clark and Justin Hollins),1.93,1.38,13.0,2022,189
1.0,3:12,2.0,10.0,CHI 45,0.0,9.0,"Justin Fields right end for 55 yards, touchdown",1.38,7.0,13.0,2022,189
1.0,3:00,,,GNB 15,0.0,10.0,Cairo Santos kicks extra point good,0.0,0.0,13.0,2022,189
1.0,3:00,,,CHI 35,0.0,10.0,"Trenton Gill kicks off 70 yards, returned by Keisean Nixon for 35 yards (tackle by Elijah Hicks)",0.0,0.94,13.0,2022,189
1.0,2:54,1.0,10.0,GNB 30,0.0,10.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,0.94,0.39,13.0,2022,189
1.0,2:46,2.0,10.0,GNB 30,0.0,10.0,Aaron Rodgers pass complete short middle to Allen Lazard for 20 yards (tackle by Nicholas Morrow),0.39,2.26,13.0,2022,189
1.0,1:48,1.0,10.0,GNB 50,0.0,10.0,Aaron Rodgers pass complete short left to AJ Dillon for 5 yards (tackle by Al-Quadin Muhammad),2.26,2.39,13.0,2022,189
1.0,1:04,2.0,5.0,CHI 45,0.0,10.0,Aaron Rodgers pass complete short left to AJ Dillon for 10 yards (tackle by Nicholas Morrow and Jaylon Jones),2.39,3.25,13.0,2022,189
1.0,0:19,1.0,10.0,CHI 35,0.0,10.0,AJ Dillon left tackle for 1 yard (tackle by Jaylon Jones),3.25,2.84,13.0,2022,189
2.0,15:00,2.0,9.0,CHI 34,0.0,10.0,AJ Dillon right end for 8 yards (tackle by DeAndre Houston-Carson and Jack Sanborn),2.84,3.2,13.0,2022,189
2.0,14:17,3.0,1.0,CHI 26,0.0,10.0,AJ Dillon right guard for 2 yards (tackle by Dominique Robinson),3.2,3.97,13.0,2022,189
2.0,13:34,1.0,10.0,CHI 24,0.0,10.0,Aaron Jones right end for 7 yards (tackle by Jaylon Johnson),3.97,4.46,13.0,2022,189
2.0,12:54,2.0,3.0,CHI 17,0.0,10.0,Aaron Rodgers pass complete short middle to Aaron Jones for 6 yards (tackle by Jack Sanborn),4.46,4.84,13.0,2022,189
2.0,12:04,,,,,,Timeout #1 by Green Bay Packers,,,13.0,2022,189
2.0,12:04,1.0,10.0,CHI 11,0.0,10.0,Aaron Jones right end for -1 yards (tackle by Jack Sanborn),4.84,3.98,13.0,2022,189
2.0,11:19,2.0,11.0,CHI 12,0.0,10.0,Aaron Rodgers scrambles left end for 6 yards (tackle by Matthew Adams),3.98,4.21,13.0,2022,189
2.0,10:35,3.0,5.0,CHI 6,0.0,10.0,Aaron Rodgers pass incomplete short left,4.21,2.99,13.0,2022,189
2.0,10:25,4.0,5.0,CHI 6,3.0,10.0,Mason Crosby 24 yard field goal good,2.99,3.0,13.0,2022,189
2.0,10:22,,,GNB 35,3.0,10.0,"Mason Crosby kicks off 61 yards, returned by Velus Jones for 22 yards (tackle by Corey Ballentine)",0.0,0.67,13.0,2022,189
2.0,10:16,1.0,10.0,CHI 26,3.0,10.0,Justin Fields pass complete short right to Equanimeous St. Brown for 5 yards (tackle by Rudy Ford),0.67,0.81,13.0,2022,189
2.0,9:46,2.0,5.0,CHI 31,3.0,10.0,Justin Fields pass incomplete short right intended for Chase Claypool,0.81,0.1,13.0,2022,189
2.0,9:44,3.0,5.0,CHI 31,3.0,10.0,Justin Fields pass complete short right to Chase Claypool for 15 yards (tackle by Rasul Douglas),0.1,1.99,13.0,2022,189
2.0,9:03,1.0,10.0,CHI 46,3.0,10.0,"Justin Fields pass complete short middle to Chase Claypool for 15 yards. Chase Claypool fumbles (forced by Rasul Douglas), recovered by Rudy Ford at GB-39 and returned for 1 yard (tackle by Darrynton Evans and Teven Jenkins) Replay Assistant challenged the fumble ruling, and the play was upheld.",1.99,-1.6,13.0,2022,189
2.0,8:51,1.0,10.0,GNB 40,3.0,10.0,Aaron Rodgers pass complete short middle to Allen Lazard for 21 yards (tackle by Jaylon Jones),1.6,2.98,13.0,2022,189
2.0,8:11,1.0,10.0,CHI 39,3.0,10.0,AJ Dillon left tackle for 3 yards (tackle by Jack Sanborn and Trevis Gipson),2.98,2.71,13.0,2022,189
2.0,7:31,2.0,8.0,CHI 37,3.0,10.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,2.71,2.02,13.0,2022,189
2.0,7:17,3.0,8.0,CHI 37,3.0,10.0,Aaron Rodgers pass incomplete short left intended for Christian Watson,2.02,0.79,13.0,2022,189
2.0,7:13,4.0,8.0,CHI 37,3.0,10.0,Aaron Rodgers pass incomplete deep left intended for Randall Cobb,0.79,-1.4,13.0,2022,189
2.0,7:06,1.0,10.0,CHI 37,3.0,10.0,Justin Fields pass complete deep left to Equanimeous St. Brown for 56 yards (tackle by Jaire Alexander),1.4,5.6,13.0,2022,189
2.0,6:15,,,,,,Timeout #2 by Chicago Bears,,,13.0,2022,189
2.0,6:15,1.0,7.0,GNB 7,3.0,16.0,"David Montgomery left tackle for 7 yards, touchdown",5.6,7.0,13.0,2022,189
2.0,6:09,,,GNB 15,3.0,16.0,Cairo Santos kicks extra point no good,0.0,-1.0,13.0,2022,189
2.0,6:09,,,CHI 35,3.0,16.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,189
2.0,6:09,1.0,10.0,GNB 25,3.0,16.0,Aaron Rodgers pass incomplete deep left intended for Christian Watson,0.61,0.06,13.0,2022,189
2.0,6:02,2.0,10.0,GNB 25,3.0,16.0,AJ Dillon left guard for 2 yards (tackle by Al-Quadin Muhammad and Justin Jones),0.06,-0.36,13.0,2022,189
2.0,5:22,3.0,8.0,GNB 27,3.0,16.0,Aaron Rodgers pass complete short right to Allen Lazard for 11 yards (tackle by Jack Sanborn),-0.36,1.47,13.0,2022,189
2.0,4:42,1.0,10.0,GNB 38,3.0,16.0,AJ Dillon left guard for 16 yards (tackle by DeAndre Houston-Carson),1.47,2.52,13.0,2022,189
2.0,4:03,1.0,10.0,CHI 46,3.0,16.0,AJ Dillon left guard for 4 yards (tackle by Justin Jones and Taco Charlton),2.52,2.52,13.0,2022,189
2.0,3:22,2.0,6.0,CHI 42,3.0,16.0,Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Jack Sanborn),2.52,2.08,13.0,2022,189
2.0,2:41,3.0,4.0,CHI 40,3.0,16.0,Aaron Rodgers pass complete short middle to Allen Lazard for 7 yards (tackle by Jaylon Jones),2.08,3.38,13.0,2022,189
2.0,2:00,1.0,10.0,CHI 33,3.0,16.0,Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Josh Blackwell),3.38,3.18,13.0,2022,189
2.0,1:54,2.0,7.0,CHI 31,3.0,16.0,Aaron Jones right tackle for 11 yards (tackle by Dominique Robinson),3.18,4.24,13.0,2022,189
2.0,1:15,1.0,10.0,CHI 20,3.0,16.0,Aaron Jones right end for 7 yards (tackle by DeAndre Houston-Carson and Elijah Hicks),4.24,4.83,13.0,2022,189
2.0,0:38,2.0,3.0,CHI 13,3.0,16.0,Aaron Rodgers pass incomplete short left intended for Randall Cobb,4.83,4.1,13.0,2022,189
2.0,0:30,,,,,,Timeout #2 by Green Bay Packers,,,13.0,2022,189
