Unnamed: 0,MIA,SFO,week,year,game_id
First Downs,14,24,13.0,2022,190
Rush-Yds-TDs,8-33-0,34-121-0,13.0,2022,190
Cmp-Att-Yd-TD-INT,18-34-295-2-3,27-41-266-2-1,13.0,2022,190
Sacked-Yards,3-20,4-36,13.0,2022,190
Net Pass Yards,275,230,13.0,2022,190
Total Yards,308,351,13.0,2022,190
Fumbles-Lost,1-1,1-0,13.0,2022,190
Turnovers,4,1,13.0,2022,190
Penalties-Yards,8-68,4-45,13.0,2022,190
Third Down Conv.,0-7,8-19,13.0,2022,190
Fourth Down Conv.,1-2,1-2,13.0,2022,190
Time of Possession,19:26,40:34,13.0,2022,190
