Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Eagles to receive the opening kickoff.",,,13.0,2022,187
1.0,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 66 yards, returned by Boston Scott for 26 yards (tackle by Joshua Kalu)",0.0,0.61,13.0,2022,187
1.0,14:54,1.0,10.0,PHI 25,0.0,0.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",0.61,0.28,13.0,2022,187
1.0,14:54,1.0,15.0,PHI 20,0.0,0.0,Miles Sanders left guard for 5 yards (tackle by Dylan Cole),0.28,0.06,13.0,2022,187
1.0,14:21,2.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Kristian Fulton),0.06,0.3,13.0,2022,187
1.0,13:43,,,,,,Timeout #1 by Philadelphia Eagles,,,13.0,2022,187
1.0,13:43,3.0,3.0,PHI 32,0.0,0.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",0.3,-0.36,13.0,2022,187
1.0,13:43,3.0,8.0,PHI 27,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 20 yards (tackle by Tre Avery),-0.36,2.06,13.0,2022,187
1.0,13:18,1.0,10.0,PHI 47,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Roger McCreary),2.06,2.19,13.0,2022,187
1.0,12:41,2.0,5.0,TEN 48,0.0,0.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 14 yards (tackle by David Long and Andrew Adams),2.19,3.31,13.0,2022,187
1.0,12:15,1.0,10.0,TEN 34,0.0,0.0,Jalen Hurts pass incomplete deep middle intended for Quez Watkins,3.31,2.77,13.0,2022,187
1.0,12:11,2.0,10.0,TEN 34,0.0,6.0,"Jalen Hurts pass complete deep middle to DeVonta Smith for 34 yards, touchdown",2.77,7.0,13.0,2022,187
1.0,12:03,,,TEN 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2022,187
1.0,12:03,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,187
1.0,12:03,1.0,10.0,TEN 25,0.0,7.0,Derrick Henry left guard for 2 yards (tackle by T.J. Edwards),0.61,0.33,13.0,2022,187
1.0,11:29,2.0,8.0,TEN 27,0.0,7.0,Derrick Henry up the middle for 4 yards (tackle by James Bradberry and Kyzir White),0.33,0.17,13.0,2022,187
1.0,10:46,3.0,4.0,TEN 31,0.0,7.0,Ryan Tannehill sacked by Javon Hargrave for -5 yards,0.17,-1.63,13.0,2022,187
1.0,10:03,4.0,9.0,TEN 26,0.0,7.0,"Ryan Stonehouse punts 57 yards, returned by Britain Covey for 11 yards (tackle by Monty Rice)",-1.63,-0.81,13.0,2022,187
1.0,9:52,1.0,10.0,PHI 28,0.0,7.0,Miles Sanders up the middle for 2 yards (tackle by Rashad Weaver),0.81,0.53,13.0,2022,187
1.0,9:12,2.0,8.0,PHI 30,0.0,7.0,Jalen Hurts left guard for 3 yards (tackle by Olasunkanmi Adeniyi),0.53,0.23,13.0,2022,187
1.0,8:30,3.0,5.0,PHI 33,0.0,7.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith,0.23,-1.18,13.0,2022,187
1.0,8:25,4.0,5.0,PHI 33,0.0,7.0,"Arryn Siposs punts 47 yards, returned by C.J. Board for 9 yards (tackle by Christian Elliss)",-1.18,-0.87,13.0,2022,187
1.0,8:15,1.0,10.0,TEN 29,0.0,7.0,Derrick Henry up the middle for 2 yards (tackle by Marcus Epps),0.87,0.6,13.0,2022,187
1.0,7:42,2.0,8.0,TEN 31,0.0,7.0,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 4 yards (tackle by Reed Blankenship),0.6,0.43,13.0,2022,187
1.0,6:59,3.0,4.0,TEN 35,0.0,7.0,"Ryan Tannehill pass incomplete short left intended for Treylon Burks. Penalty on Josh Sweat: Defensive Offside, 5 yards (accepted) (no play)",0.43,1.6,13.0,2022,187
1.0,6:57,1.0,10.0,TEN 40,0.0,7.0,Ryan Tannehill scrambles right end for 17 yards (tackle by T.J. Edwards),1.6,2.72,13.0,2022,187
1.0,6:18,1.0,10.0,PHI 43,0.0,7.0,Derrick Henry left guard for 1 yard (tackle by Kyzir White),2.72,2.31,13.0,2022,187
1.0,5:40,2.0,9.0,PHI 42,0.0,7.0,Ryan Tannehill pass complete short left to Derrick Henry for 2 yards (tackle by Josiah Scott),2.31,1.88,13.0,2022,187
1.0,4:58,3.0,7.0,PHI 40,0.0,7.0,Ryan Tannehill pass incomplete deep left intended for Austin Hooper,1.88,0.59,13.0,2022,187
1.0,4:53,4.0,7.0,PHI 40,0.0,7.0,Ryan Tannehill scrambles right end for 8 yards (tackle by Javon Hargrave),0.59,3.45,13.0,2022,187
1.0,4:11,1.0,10.0,PHI 32,0.0,7.0,Ryan Tannehill pass complete short left to Derrick Henry for 6 yards (tackle by Linval Joseph and Kyzir White),3.45,3.71,13.0,2022,187
1.0,3:27,2.0,4.0,PHI 26,0.0,7.0,Derrick Henry left tackle for 1 yard (tackle by Josh Sweat),3.71,3.14,13.0,2022,187
1.0,2:53,3.0,3.0,PHI 25,6.0,7.0,"Ryan Tannehill pass complete deep middle to Treylon Burks for 25 yards, touchdown",3.14,7.0,13.0,2022,187
1.0,2:47,,,PHI 15,7.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,13.0,2022,187
1.0,2:47,,,TEN 35,7.0,7.0,"Penalty on Marcus Epps: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,13.0,2022,187
1.0,2:47,,,TEN 50,7.0,7.0,"Randy Bullock kicks off 46 yards, returned by Boston Scott for 11 yards (tackle by Joshua Kalu)",0.0,-0.22,13.0,2022,187
1.0,2:42,1.0,10.0,PHI 15,7.0,7.0,Miles Sanders right guard for 4 yards (tackle by Kevin Strong and Monty Rice),-0.22,-0.11,13.0,2022,187
1.0,2:06,2.0,6.0,PHI 19,7.0,7.0,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",-0.11,-0.82,13.0,2022,187
1.0,1:50,2.0,11.0,PHI 14,7.0,7.0,Jalen Hurts pass complete short right to Quez Watkins for 16 yards (tackle by Roger McCreary),-0.82,0.94,13.0,2022,187
1.0,1:14,1.0,10.0,PHI 30,7.0,7.0,"Jalen Hurts pass incomplete deep middle intended for Quez Watkins. Penalty on Isaac Seumalo: Offensive Holding, 10 yards (offset) . Penalty on Roger McCreary: Defensive Pass Interference, 15 yards (offset) (no play)",0.94,0.94,13.0,2022,187
1.0,1:06,1.0,10.0,PHI 30,7.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 14 yards (tackle by Andrew Adams and Kevin Byard),0.94,1.86,13.0,2022,187
1.0,0:21,1.0,10.0,PHI 44,7.0,7.0,Miles Sanders left end for no gain (tackle by David Long) (no play),1.86,1.53,13.0,2022,187
2.0,15:00,1.0,15.0,PHI 39,7.0,7.0,"Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Kristian Fulton) TEN challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete short right intended for DeVonta Smith",1.53,0.64,13.0,2022,187
2.0,14:54,2.0,15.0,PHI 39,7.0,7.0,Jalen Hurts pass complete deep middle to Jack Stoll for 26 yards (tackle by Amani Hooker),0.64,3.25,13.0,2022,187
