Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Najee Harris,PIT,17,86,0,5.0,45,2.6,41,2.4,4,4.3,13.0,2022,188
Kenny Pickett,PIT,7,14,0,1.0,13,1.9,1,0.1,0,,13.0,2022,188
Benny Snell Jr.,PIT,6,24,0,2.0,12,2.0,12,2.0,0,,13.0,2022,188
Steven Sims,PIT,3,19,0,1.0,19,6.3,0,0.0,0,,13.0,2022,188
Gunner Olszewski,PIT,2,2,0,,2,1.0,0,0.0,0,,13.0,2022,188
Jaylen Warren,PIT,1,5,0,1.0,1,1.0,4,4.0,0,,13.0,2022,188
Derek Watt,PIT,1,4,0,1.0,1,1.0,3,3.0,0,,13.0,2022,188
Cordarrelle Patterson,ATL,11,60,0,4.0,36,3.3,24,2.2,1,11.0,13.0,2022,188
Tyler Allgeier,ATL,10,52,0,3.0,22,2.2,30,3.0,1,10.0,13.0,2022,188
Caleb Huntley,ATL,4,17,0,,12,3.0,5,1.3,0,,13.0,2022,188
Marcus Mariota,ATL,3,17,0,1.0,11,3.7,6,2.0,0,,13.0,2022,188
