Unnamed: 0,IND,DAL,week,year,game_id
First Downs,18,23,13.0,2022,194
Rush-Yds-TDs,30-106-0,34-220-4,13.0,2022,194
Cmp-Att-Yd-TD-INT,21-37-233-2-3,20-30-170-3-1,13.0,2022,194
Sacked-Yards,3-30,1-5,13.0,2022,194
Net Pass Yards,203,165,13.0,2022,194
Total Yards,309,385,13.0,2022,194
Fumbles-Lost,2-2,0-0,13.0,2022,194
Turnovers,5,1,13.0,2022,194
Penalties-Yards,6-88,3-43,13.0,2022,194
Third Down Conv.,4-13,7-13,13.0,2022,194
Fourth Down Conv.,3-3,1-1,13.0,2022,194
Time of Possession,31:19,28:41,13.0,2022,194
