Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Steelers to receive the opening kickoff.",,,13.0,2022,188
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris right end for 6 yards (tackle by Jaylinn Hawkins and Adetokunbo Ogundeji),0.61,0.87,13.0,2022,188
1.0,14:25,2.0,4.0,PIT 31,0.0,0.0,Najee Harris right guard for 3 yards (tackle by Mykal Walker and Darren Hall),0.87,0.56,13.0,2022,188
1.0,13:48,3.0,1.0,PIT 34,0.0,0.0,Derek Watt right guard for 4 yards (tackle by Adetokunbo Ogundeji),0.56,1.47,13.0,2022,188
1.0,13:12,1.0,10.0,PIT 38,0.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 7 yards (tackle by Timmy Horne),1.47,1.87,13.0,2022,188
1.0,12:32,2.0,3.0,PIT 45,0.0,0.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,1.87,1.16,13.0,2022,188
1.0,12:27,3.0,3.0,PIT 45,0.0,0.0,Kenny Pickett pass complete short left to Pat Freiermuth for 10 yards (tackle by Richie Grant and Isaiah Oliver),1.16,2.59,13.0,2022,188
1.0,11:50,1.0,10.0,ATL 45,0.0,0.0,"Penalty on Dan Moore: False Start, 5 yards (accepted) (no play)",2.59,2.26,13.0,2022,188
1.0,11:20,1.0,15.0,ATL 50,0.0,0.0,"Kenny Pickett pass complete to Steven Sims for 21 yards ATL challenged the pass completion ruling, and the original play was overturned. Kenny Pickett pass incomplete deep right intended for Steven Sims",2.26,1.37,13.0,2022,188
1.0,11:32,2.0,15.0,ATL 50,0.0,0.0,Kenny Pickett pass complete short middle to Jaylen Warren for 7 yards (tackle by Rashaan Evans and Mykal Walker),1.37,1.62,13.0,2022,188
1.0,10:53,3.0,8.0,ATL 43,0.0,0.0,Kenny Pickett pass complete short right to Pat Freiermuth for 9 yards (tackle by DeAundre Alford and Richie Grant),1.62,3.31,13.0,2022,188
1.0,10:14,1.0,10.0,ATL 34,0.0,0.0,Najee Harris left tackle for 4 yards (tackle by Richie Grant and Darren Hall),3.31,3.31,13.0,2022,188
1.0,9:35,2.0,6.0,ATL 30,0.0,0.0,Najee Harris left end for 5 yards (tackle by DeAngelo Malone and Mykal Walker),3.31,3.27,13.0,2022,188
1.0,9:09,3.0,1.0,ATL 25,0.0,0.0,Kenny Pickett right guard for 2 yards (tackle by Rashaan Evans),3.27,4.04,13.0,2022,188
1.0,8:31,1.0,10.0,ATL 23,0.0,0.0,Kenny Pickett right tackle for -5 yards (tackle by Richie Grant),4.04,2.82,13.0,2022,188
1.0,7:49,2.0,15.0,ATL 28,0.0,0.0,Kenny Pickett pass incomplete short left intended for George Pickens,2.82,2.15,13.0,2022,188
1.0,7:42,3.0,15.0,ATL 28,0.0,0.0,Kenny Pickett pass incomplete short left intended for Pat Freiermuth,2.15,1.59,13.0,2022,188
1.0,7:38,4.0,15.0,ATL 28,3.0,0.0,Matthew Wright 46 yard field goal good,1.59,3.0,13.0,2022,188
