Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Patriots to receive the opening kickoff.",,,13.0,2022,181
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 64 yards, returned by Marcus Jones for 19 yards (tackle by Tyrel Dodson)",0.0,0.28,13.0,2022,181
1.0,14:54,1.0,10.0,NWE 20,0.0,0.0,Rhamondre Stevenson right tackle for 2 yards (tackle by Gregory Rousseau),0.28,0.0,13.0,2022,181
1.0,14:21,2.0,8.0,NWE 22,0.0,0.0,Mac Jones pass complete short middle to DeVante Parker for 7 yards (tackle by Damar Hamlin),0.0,0.23,13.0,2022,181
1.0,13:48,3.0,1.0,NWE 29,0.0,0.0,"Mac Jones aborted snap, recovered by Rhamondre Stevenson at NE-29 (tackle by Shaq Lawson)",0.23,-1.44,13.0,2022,181
1.0,13:07,4.0,1.0,NWE 29,0.0,0.0,"Michael Palardy punts 38 yards, returned by Nyheim Hines for no gain (tackle by Joe Cardona)",-1.44,-1.14,13.0,2022,181
1.0,12:57,1.0,10.0,BUF 33,0.0,0.0,Josh Allen pass incomplete short right intended for Devin Singletary,1.14,0.59,13.0,2022,181
1.0,12:51,2.0,10.0,BUF 33,0.0,0.0,Josh Allen pass complete deep right to Stefon Diggs for 19 yards (tackle by Kyle Dugger),0.59,2.39,13.0,2022,181
1.0,12:11,1.0,10.0,NWE 48,0.0,0.0,Devin Singletary up the middle for -1 yards (tackle by Jabrill Peppers),2.39,1.71,13.0,2022,181
1.0,11:28,2.0,11.0,NWE 49,0.0,0.0,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Marcus Jones),1.71,1.03,13.0,2022,181
1.0,11:23,3.0,11.0,NWE 49,0.0,0.0,Josh Allen pass complete short right to Nyheim Hines for 21 yards (tackle by Josh Uche and Mack Wilson),1.03,3.71,13.0,2022,181
1.0,10:56,1.0,10.0,NWE 28,0.0,0.0,"Josh Allen pass complete short right to Stefon Diggs for no gain (tackle by Jonathan Jones). Penalty on Stefon Diggs: Offensive Pass Interference, 10 yards (accepted) (no play)",3.71,3.05,13.0,2022,181
1.0,10:27,1.0,20.0,NWE 38,0.0,0.0,Devin Singletary left tackle for 5 yards (tackle by Mack Wilson),3.05,2.49,13.0,2022,181
1.0,9:49,2.0,15.0,NWE 33,0.0,0.0,Josh Allen sacked by Josh Uche for no gain,2.49,1.82,13.0,2022,181
1.0,8:59,3.0,15.0,NWE 33,0.0,0.0,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",1.82,1.16,13.0,2022,181
1.0,8:51,3.0,20.0,NWE 38,0.0,0.0,Josh Allen pass complete short middle to James Cook for 8 yards (tackle by Kyle Dugger and Myles Bryant),1.16,1.41,13.0,2022,181
1.0,8:06,4.0,12.0,NWE 30,3.0,0.0,Tyler Bass 48 yard field goal good,1.41,3.0,13.0,2022,181
1.0,8:02,,,BUF 35,3.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,181
1.0,8:02,1.0,10.0,NWE 25,3.0,0.0,Mac Jones pass complete short right to Hunter Henry for 9 yards (tackle by Matt Milano),0.61,1.28,13.0,2022,181
1.0,7:24,2.0,1.0,NWE 34,3.0,0.0,Rhamondre Stevenson right end for 2 yards (tackle by Matt Milano),1.28,1.33,13.0,2022,181
1.0,6:43,1.0,10.0,NWE 36,3.0,0.0,Mac Jones pass complete short middle to Nelson Agholor for 11 yards (tackle by Tre'Davious White and Damar Hamlin),1.33,2.06,13.0,2022,181
1.0,6:07,1.0,10.0,NWE 47,3.0,0.0,"Mac Jones scrambles left end for no gain (tackle by Boogie Basham). Penalty on Trent Brown: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,13.0,2022,181
1.0,5:45,1.0,20.0,NWE 37,3.0,0.0,"Mac Jones pass complete short right to Rhamondre Stevenson for 7 yards. Rhamondre Stevenson fumbles (forced by Tim Settle), recovered by Nelson Agholor at BUF-48",1.4,2.19,13.0,2022,181
1.0,4:55,2.0,5.0,BUF 48,3.0,6.0,"Mac Jones pass complete short left to Marcus Jones for 48 yards, touchdown",2.19,7.0,13.0,2022,181
1.0,4:46,,,BUF 15,3.0,7.0,Nick Folk kicks extra point good,0.0,0.0,13.0,2022,181
1.0,4:46,,,NWE 35,3.0,7.0,"Tristan Vizcaino kicks off 58 yards, returned by Nyheim Hines for 11 yards (tackle by Brenden Schooler)",0.0,0.04,13.0,2022,181
1.0,4:42,1.0,10.0,BUF 18,3.0,7.0,James Cook right guard for 2 yards (tackle by Deatrich Wise),0.04,-0.13,13.0,2022,181
1.0,4:05,2.0,8.0,BUF 20,3.0,7.0,Josh Allen pass complete short middle to James Cook for 14 yards (tackle by Ja'Whaun Bentley and Jonathan Jones),-0.13,1.2,13.0,2022,181
1.0,3:15,1.0,10.0,BUF 34,3.0,7.0,Josh Allen pass incomplete short left intended for Dawson Knox,1.2,0.66,13.0,2022,181
1.0,3:14,2.0,10.0,BUF 34,3.0,7.0,James Cook left tackle for 1 yard (tackle by Myles Bryant),0.66,0.1,13.0,2022,181
1.0,2:37,3.0,9.0,BUF 35,3.0,7.0,"Josh Allen pass incomplete deep right intended for Gabriel Davis. Penalty on Jack Jones: Defensive Pass Interference, 22 yards (accepted) (no play)",0.1,2.72,13.0,2022,181
1.0,2:29,1.0,10.0,NWE 43,3.0,7.0,James Cook up the middle for 28 yards (tackle by Jack Jones),2.72,4.58,13.0,2022,181
1.0,1:49,1.0,10.0,NWE 15,3.0,7.0,James Cook up the middle for 2 yards (tackle by Lawrence Guy and Jabrill Peppers),4.58,4.28,13.0,2022,181
1.0,1:04,2.0,8.0,NWE 13,3.0,7.0,Josh Allen up the middle for 8 yards (tackle by Devin McCourty and Davon Godchaux),4.28,6.06,13.0,2022,181
1.0,0:23,1.0,5.0,NWE 5,3.0,7.0,Nyheim Hines left end for -3 yards (tackle by Jack Jones),6.06,4.57,13.0,2022,181
2.0,15:00,2.0,8.0,NWE 8,9.0,7.0,"Josh Allen pass complete short left to Stefon Diggs for 8 yards, touchdown",4.57,7.0,13.0,2022,181
2.0,14:56,,,NWE 15,10.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,13.0,2022,181
2.0,14:56,,,BUF 35,10.0,7.0,"Tyler Bass kicks off 64 yards, returned by Marcus Jones for 16 yards (tackle by Siran Neal). Penalty on DaMarcus Mitchell: Offensive Holding, 8 yards (accepted)",0.0,-0.38,13.0,2022,181
2.0,14:50,1.0,10.0,NWE 9,10.0,7.0,Kevin Harris up the middle for -1 yards (tackle by Shaq Lawson),-0.38,-0.85,13.0,2022,181
2.0,14:14,2.0,11.0,NWE 8,10.0,7.0,"Mac Jones pass incomplete short middle. Penalty on Mac Jones: Intentional Grounding, 7 yards (accepted) . Penalty on Cole Strange: Offensive Holding, 10 yards (declined)",-0.85,-2.36,13.0,2022,181
2.0,14:11,3.0,18.0,NWE 1,10.0,7.0,Rhamondre Stevenson left guard for 16 yards (tackle by Gregory Rousseau and Tre'Davious White),-2.36,-2.32,13.0,2022,181
2.0,13:22,4.0,2.0,NWE 17,10.0,7.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",-2.32,-2.49,13.0,2022,181
2.0,13:22,4.0,7.0,NWE 12,10.0,7.0,"Michael Palardy punts 44 yards, fair catch by Nyheim Hines at BUF-44",-2.49,-1.86,13.0,2022,181
2.0,13:13,1.0,10.0,BUF 44,10.0,7.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,1.86,1.32,13.0,2022,181
2.0,13:07,2.0,10.0,BUF 44,10.0,7.0,Devin Singletary left end for 11 yards (tackle by Jonathan Jones),1.32,2.59,13.0,2022,181
2.0,12:33,1.0,10.0,NWE 45,10.0,7.0,Devin Singletary left guard for 4 yards (tackle by Davon Godchaux and Matt Judon),2.59,2.58,13.0,2022,181
2.0,11:54,2.0,6.0,NWE 41,10.0,7.0,James Cook right tackle for 3 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),2.58,2.28,13.0,2022,181
2.0,11:12,3.0,3.0,NWE 38,10.0,7.0,Josh Allen pass complete short left to Isaiah McKenzie for 8 yards (tackle by Myles Bryant),2.28,3.58,13.0,2022,181
2.0,10:32,1.0,10.0,NWE 30,10.0,7.0,Josh Allen pass complete short right to Isaiah McKenzie for 2 yards (tackle by Daniel Ekuale),3.58,3.3,13.0,2022,181
2.0,9:52,2.0,8.0,NWE 28,10.0,7.0,James Cook left guard for 7 yards (tackle by Josh Uche and Devin McCourty),3.3,3.53,13.0,2022,181
2.0,9:09,3.0,1.0,NWE 21,10.0,7.0,Devin Singletary up the middle for 2 yards (tackle by Lawrence Guy and Jabrill Peppers),3.53,4.31,13.0,2022,181
2.0,8:20,1.0,10.0,NWE 19,10.0,7.0,James Cook left tackle for 6 yards (tackle by Ja'Whaun Bentley),4.31,4.72,13.0,2022,181
2.0,7:38,2.0,4.0,NWE 13,10.0,7.0,James Cook left tackle for 1 yard (tackle by Davon Godchaux),4.72,4.19,13.0,2022,181
2.0,6:58,3.0,3.0,NWE 12,10.0,7.0,Josh Allen pass complete short right to Isaiah McKenzie for 4 yards (tackle by Jonathan Jones),4.19,5.37,13.0,2022,181
2.0,6:25,1.0,8.0,NWE 8,10.0,7.0,Nyheim Hines left tackle for no gain (tackle by Matt Judon),5.37,4.57,13.0,2022,181
2.0,5:44,2.0,8.0,NWE 8,10.0,7.0,Josh Allen pass incomplete short left intended for Gabriel Davis,4.57,3.58,13.0,2022,181
2.0,5:34,3.0,8.0,NWE 8,16.0,7.0,"Josh Allen pass complete short right to Gabriel Davis for 8 yards, touchdown. Penalty on Jack Jones: Defensive Holding, 5 yards (declined)",3.58,7.0,13.0,2022,181
2.0,5:27,,,NWE 15,17.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,13.0,2022,181
2.0,5:27,,,BUF 35,17.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,181
2.0,5:27,1.0,10.0,NWE 25,17.0,7.0,Mac Jones pass complete short middle to Jonnu Smith for no gain (tackle by Tremaine Edmunds),0.61,0.06,13.0,2022,181
2.0,4:58,2.0,10.0,NWE 25,17.0,7.0,Rhamondre Stevenson right tackle for no gain (tackle by Gregory Rousseau and Tremaine Edmunds),0.06,-0.62,13.0,2022,181
2.0,4:24,3.0,10.0,NWE 25,17.0,7.0,Mac Jones pass incomplete short left intended for Hunter Henry (defended by Taron Johnson),-0.62,-1.7,13.0,2022,181
