Unnamed: 0,WAS,NYG,week,year,game_id
First Downs,25,20,13.0,2022,186
Rush-Yds-TDs,36-165-0,30-134-1,13.0,2022,186
Cmp-Att-Yd-TD-INT,27-41-275-2-0,25-31-200-1-0,13.0,2022,186
Sacked-Yards,5-29,4-18,13.0,2022,186
Net Pass Yards,246,182,13.0,2022,186
Total Yards,411,316,13.0,2022,186
Fumbles-Lost,3-1,2-1,13.0,2022,186
Turnovers,1,1,13.0,2022,186
Penalties-Yards,7-55,4-34,13.0,2022,186
Third Down Conv.,3-14,4-13,13.0,2022,186
Fourth Down Conv.,1-1,0-0,13.0,2022,186
Time of Possession,41:11,28:49,13.0,2022,186
