Unnamed: 0,LAC,LVR,week,year,game_id
First Downs,22,21,13.0,2022,193
Rush-Yds-TDs,22-72-0,29-154-1,13.0,2022,193
Cmp-Att-Yd-TD-INT,28-47-335-1-0,16-30-250-2-1,13.0,2022,193
Sacked-Yards,5-21,0-0,13.0,2022,193
Net Pass Yards,314,250,13.0,2022,193
Total Yards,386,404,13.0,2022,193
Fumbles-Lost,3-1,1-1,13.0,2022,193
Turnovers,1,2,13.0,2022,193
Penalties-Yards,4-20,3-15,13.0,2022,193
Third Down Conv.,5-16,3-10,13.0,2022,193
Fourth Down Conv.,3-5,0-0,13.0,2022,193
Time of Possession,30:44,29:16,13.0,2022,193
