Unnamed: 0,JAX,DET,week,year,game_id
First Downs,14,31,13.0,2022,184
Rush-Yds-TDs,19-95-0,31-100-2,13.0,2022,184
Cmp-Att-Yd-TD-INT,19-34-185-1-0,31-41-340-2-0,13.0,2022,184
Sacked-Yards,2-14,2-3,13.0,2022,184
Net Pass Yards,171,337,13.0,2022,184
Total Yards,266,437,13.0,2022,184
Fumbles-Lost,1-1,0-0,13.0,2022,184
Turnovers,1,0,13.0,2022,184
Penalties-Yards,5-24,1-10,13.0,2022,184
Third Down Conv.,3-12,8-12,13.0,2022,184
Fourth Down Conv.,3-4,0-0,13.0,2022,184
Time of Possession,23:10,36:50,13.0,2022,184
