Quarter,Time,Tm,Detail,KAN,CIN,week,year,game_id
1.0,8:49,Bengals,Joe Burrow 4 yard rush (Evan McPherson kick),0,7,13.0,2022,192
,3:56,Chiefs,Harrison Butker 26 yard field goal,3,7,13.0,2022,192
2.0,13:33,Bengals,Tee Higgins 12 yard pass from Joe Burrow (Evan McPherson kick),3,14,13.0,2022,192
,2:23,Chiefs,Jerick McKinnon 2 yard pass from Patrick Mahomes (Harrison Butker kick),10,14,13.0,2022,192
3.0,12:03,Chiefs,Isiah Pacheco 8 yard rush (Harrison Butker kick),17,14,13.0,2022,192
,7:16,Bengals,Evan McPherson 36 yard field goal,17,17,13.0,2022,192
,3:49,Chiefs,Patrick Mahomes 3 yard rush (Harrison Butker kick),24,17,13.0,2022,192
4.0,14:47,Bengals,Evan McPherson 41 yard field goal,24,20,13.0,2022,192
,8:54,Bengals,Chris Evans 8 yard pass from Joe Burrow (Evan McPherson kick),24,27,13.0,2022,192
