Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,13.0,2022,194
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 65 yards, returned by KaVontae Turpin for 18 yards (tackle by Grant Stuard)",0.0,0.04,13.0,2022,194
1.0,14:55,1.0,10.0,DAL 18,0.0,0.0,Tony Pollard left tackle for no gain (tackle by Bobby Okereke and Grover Stewart),0.04,-0.49,13.0,2022,194
1.0,14:22,2.0,10.0,DAL 18,0.0,0.0,Dak Prescott pass complete short right to Noah Brown for 6 yards (tackle by Isaiah Rodgers),-0.49,-0.4,13.0,2022,194
1.0,13:48,3.0,4.0,DAL 24,0.0,0.0,Dak Prescott pass incomplete short middle intended for Dalton Schultz (defended by Rodney McLeod),-0.4,-1.77,13.0,2022,194
1.0,13:42,4.0,4.0,DAL 24,0.0,0.0,"Bryan Anger punts 44 yards, fair catch by Dallis Flowers at IND-32. Penalty on Kelvin Joseph: Fair Catch Interference, 15 yards (accepted)",-1.77,-2.06,13.0,2022,194
1.0,13:31,1.0,10.0,IND 47,0.0,0.0,Jonathan Taylor up the middle for 4 yards (tackle by Johnathan Hankins),2.06,2.06,13.0,2022,194
1.0,12:58,2.0,6.0,DAL 49,0.0,0.0,Matt Ryan pass complete short middle to Kylen Granson for 9 yards (tackle by Anthony Barr),2.06,2.92,13.0,2022,194
1.0,12:39,1.0,10.0,DAL 40,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Donovan Wilson and Micah Parsons),2.92,2.64,13.0,2022,194
1.0,12:13,2.0,8.0,DAL 38,0.0,0.0,Jonathan Taylor left guard for 4 yards (tackle by Osa Odighizuwa),2.64,2.48,13.0,2022,194
1.0,11:38,3.0,4.0,DAL 34,0.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by DeMarcus Lawrence and Neville Gallimore),2.48,1.19,13.0,2022,194
1.0,10:53,4.0,3.0,DAL 33,3.0,0.0,Chase McLaughlin 52 yard field goal good,1.19,3.0,13.0,2022,194
1.0,10:49,,,IND 35,3.0,0.0,"Chase McLaughlin kicks off 65 yards, returned by KaVontae Turpin for 27 yards (tackle by Tony Brown and Dallis Flowers)",0.0,0.74,13.0,2022,194
1.0,10:43,1.0,10.0,DAL 27,3.0,0.0,Tony Pollard right tackle for 3 yards (tackle by Dayo Odeyingbo and Byron Cowart),0.74,0.6,13.0,2022,194
1.0,10:13,2.0,7.0,DAL 30,3.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 10 yards (tackle by Stephon Gilmore),0.6,1.6,13.0,2022,194
1.0,9:43,1.0,10.0,DAL 40,3.0,0.0,Dak Prescott pass complete short right to Dalton Schultz for 11 yards (tackle by Rodney McLeod and Rodney Thomas),1.6,2.32,13.0,2022,194
1.0,9:12,1.0,10.0,IND 49,3.0,0.0,Tony Pollard right end for 3 yards (tackle by Zaire Franklin),2.32,2.19,13.0,2022,194
1.0,8:42,2.0,7.0,IND 46,3.0,0.0,Ezekiel Elliott up the middle for 10 yards (tackle by Stephon Gilmore),2.19,3.18,13.0,2022,194
1.0,8:10,1.0,10.0,IND 36,3.0,0.0,Ezekiel Elliott left tackle for 5 yards (tackle by Bobby Okereke),3.18,3.31,13.0,2022,194
1.0,7:34,2.0,5.0,IND 31,3.0,0.0,Ezekiel Elliott right guard for 3 yards (tackle by E.J. Speed and Kwity Paye),3.31,3.01,13.0,2022,194
1.0,6:56,3.0,2.0,IND 28,3.0,0.0,Ezekiel Elliott up the middle for 1 yard (tackle by Zaire Franklin),3.01,1.82,13.0,2022,194
1.0,6:17,4.0,1.0,IND 27,3.0,0.0,Ezekiel Elliott left guard for 6 yards (tackle by Stephon Gilmore and Zaire Franklin),1.82,4.17,13.0,2022,194
1.0,5:41,1.0,10.0,IND 21,3.0,0.0,Dak Prescott pass incomplete deep middle intended for Dalton Schultz,4.17,3.63,13.0,2022,194
1.0,5:37,2.0,10.0,IND 21,3.0,0.0,Tony Pollard left guard for 1 yard (tackle by DeForest Buckner and Zaire Franklin),3.63,3.07,13.0,2022,194
1.0,4:58,3.0,9.0,IND 20,3.0,6.0,"Dak Prescott pass complete short middle to CeeDee Lamb for 20 yards, touchdown",3.07,7.0,13.0,2022,194
1.0,4:50,,,IND 15,3.0,7.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
1.0,4:50,,,DAL 35,3.0,7.0,"Brett Maher kicks off 72 yards, returned by Isaiah Rodgers for 28 yards (tackle by Peyton Hendershot and C.J. Goodwin). Penalty on Peyton Hendershot: Taunting / Defense, 15 yards (offset) . Penalty on Deon Jackson: Offensive Holding, 10 yards (offset)",0.0,0.34,13.0,2022,194
1.0,4:42,1.0,10.0,IND 21,3.0,7.0,Jonathan Taylor right end for 5 yards (tackle by Donovan Wilson and Neville Gallimore),0.34,0.48,13.0,2022,194
1.0,4:16,2.0,5.0,IND 26,3.0,7.0,Jonathan Taylor right tackle for 14 yards (tackle by Donovan Wilson),0.48,1.6,13.0,2022,194
1.0,3:46,1.0,10.0,IND 40,3.0,7.0,Matt Ryan pass complete deep right to Alec Pierce for 45 yards (tackle by Anthony Brown),1.6,4.58,13.0,2022,194
1.0,3:19,1.0,10.0,DAL 15,3.0,7.0,Jonathan Taylor right guard for 1 yard (tackle by Neville Gallimore),4.58,4.11,13.0,2022,194
1.0,2:42,2.0,9.0,DAL 14,9.0,7.0,"Matt Ryan pass complete short left to Ashton Dulin for 14 yards, touchdown",4.11,7.0,13.0,2022,194
1.0,2:37,,,DAL 15,10.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,13.0,2022,194
1.0,2:37,,,IND 35,10.0,7.0,"Chase McLaughlin kicks off 68 yards, returned by KaVontae Turpin for 19 yards (tackle by E.J. Speed)",0.0,-0.14,13.0,2022,194
1.0,2:33,1.0,10.0,DAL 16,10.0,7.0,Ezekiel Elliott left tackle for 5 yards (tackle by Kwity Paye),-0.14,0.15,13.0,2022,194
1.0,2:08,2.0,5.0,DAL 21,10.0,7.0,Ezekiel Elliott left tackle for 4 yards (tackle by Kwity Paye),0.15,-0.2,13.0,2022,194
1.0,1:30,3.0,1.0,DAL 25,10.0,7.0,Dak Prescott pass complete short right to Noah Brown for 9 yards (tackle by Julian Blackmon and Zaire Franklin),-0.2,1.2,13.0,2022,194
