Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Texans to receive the opening kickoff.",,,13.0,2022,182
1.0,15:00,,,CLE 35,0.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,182
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,"Kyle Allen pass incomplete deep right intended for Teagan Quitoriano Replay Assistant challenged the pass interception ruling, and the original play was overturned. Kyle Allen pass deep right intended for Teagan Quitoriano is intercepted by John Johnson at CLE-43 and returned for no gain",0.61,-1.8,13.0,2022,182
1.0,14:54,1.0,10.0,CLE 43,0.0,0.0,Nick Chubb right guard for 7 yards (tackle by Roy Lopez),1.8,2.2,13.0,2022,182
1.0,14:22,2.0,3.0,HOU 50,0.0,0.0,Deshaun Watson pass incomplete short right intended for Amari Cooper (defended by Steven Nelson),2.2,1.49,13.0,2022,182
1.0,14:19,3.0,3.0,HOU 50,0.0,0.0,Deshaun Watson pass incomplete short left intended for David Bell,1.49,-0.06,13.0,2022,182
1.0,14:11,4.0,3.0,HOU 50,0.0,0.0,"Corey Bojorquez punts 40 yards, fair catch by Desmond King at HOU-10",-0.06,0.38,13.0,2022,182
1.0,14:04,1.0,10.0,HOU 10,0.0,0.0,Kyle Allen pass complete short right to Phillip Dorsett for 11 yards (tackle by Denzel Ward and Jeremiah Owusu-Koramoah),-0.38,0.34,13.0,2022,182
1.0,13:18,1.0,10.0,HOU 21,0.0,0.0,Dameon Pierce left end for 7 yards (tackle by Sione Takitaki and Denzel Ward),0.34,0.75,13.0,2022,182
1.0,12:55,2.0,3.0,HOU 28,0.0,0.0,Kyle Allen pass incomplete short left intended for Nico Collins,0.75,0.04,13.0,2022,182
1.0,12:51,3.0,3.0,HOU 28,0.0,0.0,"Kyle Allen pass incomplete short left intended for Jordan Akins. Penalty on Tytus Howard: Offensive Holding, 10 yards (declined)",0.04,-1.5,13.0,2022,182
