Unnamed: 0,NOR,TAM,week,year,game_id
First Downs,14,25,13.0,2022,195
Rush-Yds-TDs,25-66-0,20-76-0,13.0,2022,195
Cmp-Att-Yd-TD-INT,21-29-250-1-0,36-54-281-2-1,13.0,2022,195
Sacked-Yards,2-18,1-7,13.0,2022,195
Net Pass Yards,232,274,13.0,2022,195
Total Yards,298,350,13.0,2022,195
Fumbles-Lost,2-0,1-1,13.0,2022,195
Turnovers,0,2,13.0,2022,195
Penalties-Yards,6-84,4-39,13.0,2022,195
Third Down Conv.,5-14,8-15,13.0,2022,195
Fourth Down Conv.,0-0,0-0,13.0,2022,195
Time of Possession,29:55,30:05,13.0,2022,195
