Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Latavius Murray,DEN,17,47,0,1.0,31,1.8,16,0.9,1,17.0,13.0,2022,183
Mike Boone,DEN,6,18,0,2.0,13,2.2,5,0.8,1,6.0,13.0,2022,183
Marlon Mack,DEN,2,3,0,,2,1.0,1,0.5,0,,13.0,2022,183
Russell Wilson,DEN,2,21,0,1.0,20,10.0,1,0.5,0,,13.0,2022,183
Montrell Washington,DEN,1,-1,0,,-1,-1.0,0,0.0,0,,13.0,2022,183
Tyler Huntley,BAL,10,41,1,5.0,40,4.0,1,0.1,0,,13.0,2022,183
Kenyan Drake,BAL,7,29,0,1.0,24,3.4,5,0.7,0,,13.0,2022,183
Gus Edwards,BAL,6,12,0,1.0,7,1.2,5,0.8,0,,13.0,2022,183
Devin Duvernay,BAL,2,9,0,1.0,7,3.5,2,1.0,0,,13.0,2022,183
Mark Andrews,BAL,1,1,0,1.0,1,1.0,0,0.0,0,,13.0,2022,183
Justice Hill,BAL,1,2,0,,2,2.0,0,0.0,0,,13.0,2022,183
Lamar Jackson,BAL,1,9,0,,7,7.0,2,2.0,0,,13.0,2022,183
