Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,,13.0,2022,191
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 59 yards, returned by Brandon Powell for 17 yards (tackle by Tanner Muse and Josh Jones)",0.0,0.48,13.0,2022,191
1.0,14:55,1.0,10.0,LAR 23,0.0,0.0,Cam Akers right tackle for 8 yards (tackle by Bruce Irvin),0.48,1.01,13.0,2022,191
1.0,14:18,2.0,2.0,LAR 31,0.0,0.0,Cam Akers left tackle for 7 yards (tackle by Tariq Woolen),1.01,1.47,13.0,2022,191
1.0,13:42,1.0,10.0,LAR 38,0.0,0.0,Tutu Atwell left end for 7 yards (tackle by Ryan Neal),1.47,1.87,13.0,2022,191
1.0,13:06,2.0,3.0,LAR 45,0.0,0.0,Cam Akers right tackle for 1 yard (tackle by Cody Barton and Jordyn Brooks),1.87,1.29,13.0,2022,191
1.0,12:23,3.0,2.0,LAR 46,0.0,0.0,John Wolford pass complete deep right to Ben Skowronek for 22 yards (tackle by Michael Jackson),1.29,3.45,13.0,2022,191
1.0,11:39,1.0,10.0,SEA 32,0.0,0.0,John Wolford pass incomplete short left intended for Tyler Higbee (defended by Bryan Mone),3.45,2.9,13.0,2022,191
1.0,11:31,2.0,10.0,SEA 32,0.0,0.0,John Wolford pass complete short left to Austin Trammell for 8 yards (tackle by Coby Bryant),2.9,3.27,13.0,2022,191
1.0,10:54,3.0,2.0,SEA 24,0.0,0.0,Brandon Powell left end for 9 yards (tackle by Tariq Woolen),3.27,4.58,13.0,2022,191
1.0,10:18,1.0,10.0,SEA 15,0.0,0.0,John Wolford pass complete short left to Brandon Powell for 14 yards (tackle by Jordyn Brooks),4.58,6.97,13.0,2022,191
1.0,9:33,1.0,1.0,SEA 1,0.0,6.0,"Cam Akers up the middle for 1 yard, touchdown",6.97,7.0,13.0,2022,191
1.0,9:30,,,SEA 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,13.0,2022,191
1.0,9:30,,,LAR 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
1.0,9:30,1.0,10.0,SEA 25,0.0,7.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",0.61,0.28,13.0,2022,191
1.0,9:30,1.0,15.0,SEA 20,0.0,7.0,Kenneth Walker up the middle for 30 yards (tackle by Nick Scott),0.28,2.26,13.0,2022,191
1.0,8:50,1.0,10.0,SEA 50,0.0,7.0,DeeJay Dallas right tackle for 1 yard (tackle by Ernest Jones and Jonah Williams),2.26,1.85,13.0,2022,191
1.0,8:12,2.0,9.0,LAR 49,0.0,7.0,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by Russ Yeast),1.85,2.98,13.0,2022,191
1.0,7:39,1.0,10.0,LAR 39,0.0,7.0,Geno Smith scrambles right end for 4 yards (tackle by Derion Kendrick),2.98,2.98,13.0,2022,191
1.0,6:58,2.0,6.0,LAR 35,0.0,7.0,Geno Smith sacked by Bobby Wagner for -1 yards,2.98,2.15,13.0,2022,191
1.0,6:14,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2022,191
1.0,6:14,3.0,7.0,LAR 36,6.0,7.0,"Geno Smith pass complete deep left to Tyler Lockett for 36 yards, touchdown",2.15,7.0,13.0,2022,191
1.0,6:05,,,LAR 15,7.0,7.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2022,191
1.0,6:05,,,SEA 35,7.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
1.0,6:05,1.0,10.0,LAR 25,7.0,7.0,John Wolford pass complete short right to Ben Skowronek for 8 yards (tackle by Michael Jackson),0.61,1.14,13.0,2022,191
1.0,5:26,2.0,2.0,LAR 33,7.0,7.0,John Wolford pass complete deep left to Tutu Atwell for 30 yards (tackle by Tariq Woolen),1.14,3.12,13.0,2022,191
