Unnamed: 0,SEA,LAR,week,year,game_id
First Downs,25,20,13.0,2022,191
Rush-Yds-TDs,22-90-0,33-171-2,13.0,2022,191
Cmp-Att-Yd-TD-INT,28-39-367-3-1,14-26-178-0-2,13.0,2022,191
Sacked-Yards,4-19,4-30,13.0,2022,191
Net Pass Yards,348,148,13.0,2022,191
Total Yards,438,319,13.0,2022,191
Fumbles-Lost,1-1,1-0,13.0,2022,191
Turnovers,2,2,13.0,2022,191
Penalties-Yards,6-42,4-39,13.0,2022,191
Third Down Conv.,5-10,4-12,13.0,2022,191
Fourth Down Conv.,0-0,1-2,13.0,2022,191
Time of Possession,30:53,29:07,13.0,2022,191
