Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,13.0,2022,195
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,195
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Rachaad White up the middle for no gain (tackle by David Onyemata and Tanoh Kpassagnon),0.61,0.06,13.0,2022,195
1.0,14:27,2.0,10.0,TAM 25,0.0,0.0,Tom Brady pass complete short right to Chris Godwin for 14 yards (tackle by Marcus Maye),0.06,1.53,13.0,2022,195
1.0,13:52,1.0,10.0,TAM 39,0.0,0.0,Rachaad White left end for 2 yards (tackle by Demario Davis and Kaden Elliss),1.53,1.26,13.0,2022,195
1.0,13:19,2.0,8.0,TAM 41,0.0,0.0,Rachaad White up the middle for 6 yards (tackle by Carl Granderson and Alontae Taylor),1.26,1.36,13.0,2022,195
1.0,12:39,3.0,2.0,TAM 47,0.0,0.0,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by Bradley Roby),1.36,2.46,13.0,2022,195
1.0,12:11,1.0,10.0,NOR 47,0.0,0.0,"Tom Brady pass complete short left to Russell Gage for 11 yards (tackle by Alontae Taylor). Penalty on Alontae Taylor: Defensive Holding, 5 yards (declined)",2.46,3.18,13.0,2022,195
1.0,11:55,1.0,10.0,NOR 36,0.0,0.0,Rachaad White right tackle for 6 yards (tackle by Kaden Elliss),3.18,3.45,13.0,2022,195
1.0,11:09,2.0,4.0,NOR 30,0.0,0.0,Tom Brady pass incomplete short left intended for Rachaad White,3.45,2.74,13.0,2022,195
1.0,11:04,3.0,4.0,NOR 30,0.0,0.0,Tom Brady pass complete short middle to Leonard Fournette for 8 yards (tackle by Demario Davis),2.74,4.11,13.0,2022,195
1.0,10:29,1.0,10.0,NOR 22,0.0,0.0,Leonard Fournette right end for 5 yards (tackle by Marcus Maye),4.11,4.29,13.0,2022,195
1.0,9:49,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,13.0,2022,195
1.0,9:49,2.0,5.0,NOR 17,0.0,0.0,Tom Brady pass complete short middle to Leonard Fournette for 4 yards (tackle by Kaden Elliss and Demario Davis),4.29,4.39,13.0,2022,195
1.0,9:12,3.0,1.0,NOR 13,0.0,0.0,Leonard Fournette right guard for 7 yards (tackle by Marcus Maye),4.39,5.83,13.0,2022,195
