Unnamed: 0,DEN,BAL,week,year,game_id
First Downs,12,20,13.0,2022,183
Rush-Yds-TDs,28-88-0,28-103-1,13.0,2022,183
Cmp-Att-Yd-TD-INT,17-22-189-0-0,30-37-198-0-2,13.0,2022,183
Sacked-Yards,2-5,4-16,13.0,2022,183
Net Pass Yards,184,182,13.0,2022,183
Total Yards,272,285,13.0,2022,183
Fumbles-Lost,0-0,1-0,13.0,2022,183
Turnovers,0,2,13.0,2022,183
Penalties-Yards,4-48,3-15,13.0,2022,183
Third Down Conv.,2-12,3-13,13.0,2022,183
Fourth Down Conv.,0-0,3-3,13.0,2022,183
Time of Possession,27:31,32:29,13.0,2022,183
