Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,13.0,2022,190
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,190
1.0,15:00,1.0,10.0,MIA 25,6.0,0.0,"Tua Tagovailoa pass complete short right to Trent Sherfield for 75 yards, touchdown",0.61,7.0,13.0,2022,190
1.0,14:50,,,SFO 15,7.0,0.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2022,190
1.0,14:50,,,MIA 35,7.0,0.0,"Jason Sanders kicks off 67 yards, returned by Ray-Ray McCloud for 19 yards (tackle by Samuel Eguavoen and Andrew Van Ginkel)",0.0,-0.06,13.0,2022,190
1.0,14:45,1.0,10.0,SFO 17,7.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Christian Wilkins and Justin Zimmer),-0.06,-0.06,13.0,2022,190
1.0,14:09,2.0,7.0,SFO 20,7.0,0.0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,-0.06,-0.87,13.0,2022,190
1.0,14:04,3.0,7.0,SFO 20,7.0,0.0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 23 yards (tackle by Verone McKinley),-0.87,1.8,13.0,2022,190
1.0,13:29,1.0,10.0,SFO 43,7.0,0.0,Christian McCaffrey right guard for 1 yard (tackle by Elandon Roberts),1.8,1.39,13.0,2022,190
1.0,12:48,2.0,9.0,SFO 44,7.0,0.0,Jimmy Garoppolo pass complete deep right to Christian McCaffrey for 33 yards (tackle by Jevon Holland),1.39,4.04,13.0,2022,190
1.0,12:14,1.0,10.0,MIA 23,7.0,0.0,Christian McCaffrey up the middle for 4 yards (tackle by Christian Wilkins),4.04,4.05,13.0,2022,190
1.0,11:30,2.0,6.0,MIA 19,7.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle,4.05,3.34,13.0,2022,190
