Quarter,Time,Tm,Detail,DEN,BAL,week,year,game_id
1.0,9:03,Broncos,Brandon McManus 52 yard field goal,3,0,13.0,2022,183
2.0,5:55,Ravens,Justin Tucker 26 yard field goal,3,3,13.0,2022,183
,0:37,Broncos,Brandon McManus 41 yard field goal,6,3,13.0,2022,183
3.0,3:58,Broncos,Brandon McManus 50 yard field goal,9,3,13.0,2022,183
4.0,0:28,Ravens,Tyler Huntley 2 yard rush (Justin Tucker kick),9,10,13.0,2022,183
