Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Giants to receive the opening kickoff.",,,13.0,2022,186
1,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,186
1,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Bobby McCain),0.61,0.47,13.0,2022,186
1,14:30,2.0,7.0,NYG 28,0.0,0.0,Daniel Jones scrambles up the middle for 9 yards (tackle by Jamin Davis),0.47,1.4,13.0,2022,186
1,13:55,1.0,10.0,NYG 37,0.0,0.0,Saquon Barkley right end for 5 yards (tackle by Kamren Curl),1.4,1.53,13.0,2022,186
1,13:20,2.0,5.0,NYG 42,0.0,0.0,"Daniel Jones left guard for 5 yards. Daniel Jones fumbles (forced by Jonathan Allen), recovered by Jamin Davis at NYG-48",1.53,-2.39,13.0,2022,186
1,13:06,1.0,10.0,NYG 48,0.0,0.0,Brian Robinson right guard for 5 yards (tackle by Kayvon Thibodeaux and Jaylon Smith),2.39,2.52,13.0,2022,186
1,12:33,2.0,5.0,NYG 43,0.0,0.0,Taylor Heinicke pass complete short left to Brian Robinson for 10 yards (tackle by Jaylon Smith),2.52,3.38,13.0,2022,186
1,12:03,1.0,10.0,NYG 33,0.0,0.0,Taylor Heinicke pass complete short right to Jahan Dotson for 9 yards (tackle by Nick McCloud),3.38,4.05,13.0,2022,186
1,11:34,2.0,1.0,NYG 24,0.0,0.0,Antonio Gibson left guard for 2 yards (tackle by Leonard Williams and Micah McFadden),4.05,4.11,13.0,2022,186
1,10:57,1.0,10.0,NYG 22,0.0,0.0,Taylor Heinicke pass incomplete deep left intended for Logan Thomas,4.11,3.56,13.0,2022,186
1,10:52,2.0,10.0,NYG 22,0.0,0.0,Brian Robinson left end for 16 yards (tackle by Jason Pinnock),3.56,5.83,13.0,2022,186
1,10:17,1.0,6.0,NYG 6,0.0,0.0,Brian Robinson left end for 2 yards (tackle by Kayvon Thibodeaux and Jaylon Smith),5.83,5.34,13.0,2022,186
1,9:33,2.0,4.0,NYG 4,0.0,0.0,Taylor Heinicke pass complete short right to Curtis Samuel for 1 yard (tackle by Zyon Gilbert),5.34,4.72,13.0,2022,186
1,8:52,3.0,3.0,NYG 3,0.0,0.0,Taylor Heinicke pass incomplete short right,4.72,3.04,13.0,2022,186
1,8:42,4.0,3.0,NYG 3,3.0,0.0,Joey Slye 21 yard field goal good,3.04,3.0,13.0,2022,186
1,8:39,,,WAS 35,3.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,186
1,8:39,1.0,10.0,NYG 25,3.0,0.0,Saquon Barkley left end for 3 yards (tackle by Efe Obada and Jonathan Bostic),0.61,0.47,13.0,2022,186
1,8:03,2.0,7.0,NYG 28,3.0,0.0,Daniel Jones sacked by Daron Payne for -9 yards,0.47,-1.51,13.0,2022,186
1,7:19,3.0,16.0,NYG 19,3.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Casey Toohill),-1.51,-2.03,13.0,2022,186
1,6:41,4.0,15.0,NYG 20,3.0,0.0,"Jamie Gillan punts 48 yards, returned by Alex Erickson for 6 yards (tackle by Jason Pinnock)",-2.03,-1.47,13.0,2022,186
1,6:31,1.0,10.0,WAS 38,3.0,0.0,Taylor Heinicke pass complete deep left to Jahan Dotson for 16 yards (tackle by Julian Love),1.47,2.52,13.0,2022,186
1,5:56,1.0,10.0,NYG 46,3.0,0.0,Brian Robinson up the middle for 5 yards (tackle by Henry Mondeaux and Micah McFadden),2.52,2.65,13.0,2022,186
1,5:17,2.0,5.0,NYG 41,3.0,0.0,Brian Robinson right guard for 5 yards (tackle by Dexter Lawrence and Vernon Butler),2.65,3.18,13.0,2022,186
1,4:35,1.0,10.0,NYG 36,3.0,0.0,Brian Robinson left tackle for no gain (tackle by Zyon Gilbert),3.18,2.64,13.0,2022,186
1,3:59,2.0,10.0,NYG 36,3.0,0.0,Taylor Heinicke pass complete short middle to Logan Thomas for 11 yards (tackle by Micah McFadden),2.64,3.91,13.0,2022,186
1,3:19,1.0,10.0,NYG 25,3.0,0.0,Antonio Gibson right guard for 6 yards (tackle by Leonard Williams),3.91,4.2,13.0,2022,186
1,2:37,2.0,4.0,NYG 19,3.0,0.0,Taylor Heinicke pass incomplete short right intended for Antonio Gibson,4.2,3.49,13.0,2022,186
1,2:35,3.0,4.0,NYG 19,9.0,0.0,"Taylor Heinicke pass complete short right to Terry McLaurin for 19 yards, touchdown",3.49,7.0,13.0,2022,186
1,2:27,,,NYG 15,10.0,0.0,Joey Slye kicks extra point good,0.0,0.0,13.0,2022,186
1,2:27,,,WAS 35,10.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,186
1,2:27,1.0,10.0,NYG 25,10.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 8 yards (tackle by Jamin Davis),0.61,1.14,13.0,2022,186
1,1:54,2.0,2.0,NYG 33,10.0,0.0,Saquon Barkley right guard for 5 yards (tackle by Darrick Forrest and Jamin Davis),1.14,1.47,13.0,2022,186
1,1:20,1.0,10.0,NYG 38,10.0,0.0,Saquon Barkley right guard for 2 yards (tackle by Kendall Fuller and Jamin Davis),1.47,1.19,13.0,2022,186
1,0:47,2.0,8.0,NYG 40,10.0,0.0,"Daniel Jones scrambles up the middle for 21 yards (tackle by Kamren Curl). Penalty on Kamren Curl: Defensive Holding, 5 yards (accepted)",1.19,3.31,13.0,2022,186
1,0:19,1.0,10.0,WAS 34,10.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 2 yards (tackle by Christian Holmes),3.31,3.04,13.0,2022,186
2,15:00,2.0,8.0,WAS 32,10.0,0.0,Daniel Jones right tackle for 3 yards (tackle by Christian Holmes),3.04,2.74,13.0,2022,186
2,14:23,3.0,5.0,WAS 29,10.0,0.0,Daniel Jones pass complete short left to Richie James for -1 yards (tackle by Bobby McCain and Jonathan Bostic),2.74,1.43,13.0,2022,186
2,13:43,4.0,6.0,WAS 30,10.0,3.0,Graham Gano 48 yard field goal good,1.43,3.0,13.0,2022,186
2,13:38,,,NYG 35,10.0,3.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,186
2,13:38,1.0,10.0,WAS 25,10.0,3.0,Brian Robinson right guard for 5 yards (tackle by Julian Love),0.61,0.74,13.0,2022,186
2,13:05,2.0,5.0,WAS 30,10.0,3.0,Taylor Heinicke sacked by Justin Ellis for -8 yards,0.74,-1.29,13.0,2022,186
2,12:20,3.0,15.0,WAS 20,10.0,3.0,Taylor Heinicke pass complete short right to Terry McLaurin for 12 yards (tackle by Dexter Lawrence and Oshane Ximines),-1.29,-1.11,13.0,2022,186
2,11:33,4.0,1.0,WAS 34,10.0,3.0,"Tress Way punts 47 yards, fair catch by Richie James at NYG-19",-1.11,-0.15,13.0,2022,186
2,11:27,1.0,10.0,NYG 19,10.0,3.0,Daniel Jones pass complete deep left to Darius Slayton for 55 yards (tackle by Darrick Forrest),0.15,3.78,13.0,2022,186
2,10:50,1.0,10.0,WAS 27,10.0,3.0,Saquon Barkley right tackle for -3 yards (tackle by Montez Sweat and Daron Payne),3.78,2.89,13.0,2022,186
2,10:13,2.0,13.0,WAS 29,10.0,3.0,Daniel Jones pass complete short left to Isaiah Hodgins for 6 yards (tackle by Kendall Fuller),2.89,3.01,13.0,2022,186
2,9:29,3.0,7.0,WAS 23,10.0,3.0,Daniel Jones scrambles right end for 10 yards (tackle by Bobby McCain),3.01,4.71,13.0,2022,186
