Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Broncos to receive the opening kickoff.",,,13.0,2022,183
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 59 yards, returned by Montrell Washington for 11 yards (tackle by Daryl Worley)",0.0,-0.06,13.0,2022,183
1.0,14:56,1.0,10.0,DEN 17,0.0,0.0,Latavius Murray left tackle for 3 yards (tackle by Calais Campbell and Marlon Humphrey),-0.06,-0.06,13.0,2022,183
1.0,14:25,2.0,7.0,DEN 20,0.0,0.0,Russell Wilson pass complete short left to Greg Dulcich for 8 yards (tackle by Marlon Humphrey),-0.06,0.81,13.0,2022,183
1.0,13:54,1.0,10.0,DEN 28,0.0,0.0,Latavius Murray up the middle for 7 yards (tackle by Jason Pierre-Paul),0.81,1.21,13.0,2022,183
1.0,13:32,2.0,3.0,DEN 35,0.0,0.0,Latavius Murray left guard for 2 yards (tackle by Roquan Smith),1.21,0.76,13.0,2022,183
1.0,12:56,3.0,1.0,DEN 37,0.0,0.0,Latavius Murray up the middle for 2 yards (tackle by Justin Madubuike),0.76,1.53,13.0,2022,183
1.0,12:20,1.0,10.0,DEN 39,0.0,0.0,Marlon Mack left end for 4 yards (tackle by Patrick Queen),1.53,1.53,13.0,2022,183
1.0,11:51,2.0,6.0,DEN 43,0.0,0.0,Russell Wilson pass complete short middle to Greg Dulcich for 19 yards (tackle by Patrick Queen),1.53,3.05,13.0,2022,183
1.0,11:15,1.0,10.0,BAL 38,0.0,0.0,Latavius Murray up the middle for 3 yards (tackle by Marlon Humphrey),3.05,2.91,13.0,2022,183
1.0,10:38,2.0,7.0,BAL 35,0.0,0.0,Latavius Murray left tackle for 2 yards (tackle by Roquan Smith and Brent Urban),2.91,2.48,13.0,2022,183
1.0,9:54,3.0,5.0,BAL 33,0.0,0.0,Mike Boone left tackle for -1 yards (tackle by Patrick Queen),2.48,1.07,13.0,2022,183
1.0,9:09,4.0,6.0,BAL 34,3.0,0.0,Brandon McManus 52 yard field goal good,1.07,3.0,13.0,2022,183
1.0,9:03,,,DEN 35,3.0,0.0,"Brandon McManus kicks off 65 yards, returned by Devin Duvernay for 23 yards (tackle by Jalen Virgil and P.J. Locke)",0.0,0.48,13.0,2022,183
1.0,8:59,1.0,10.0,BAL 23,3.0,0.0,Gus Edwards left tackle for 1 yard (tackle by DeShawn Williams and Jonathon Cooper),0.48,0.07,13.0,2022,183
