Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Aaron Rodgers,GNB,3,4,0,6,13.0,2022,189
AJ Dillon,GNB,18,93,1,21,13.0,2022,189
Christian Watson,GNB,1,46,1,46,13.0,2022,189
Aaron Jones,GNB,9,26,0,11,13.0,2022,189
Patrick Taylor,GNB,1,6,0,6,13.0,2022,189
Allen Lazard,GNB,0,0,0,0,13.0,2022,189
Robert Tonyan,GNB,0,0,0,0,13.0,2022,189
Samori Toure,GNB,0,0,0,0,13.0,2022,189
Marcedes Lewis,GNB,0,0,0,0,13.0,2022,189
Josiah Deguara,GNB,0,0,0,0,13.0,2022,189
Randall Cobb,GNB,0,0,0,0,13.0,2022,189
Justin Fields,CHI,6,71,1,55,13.0,2022,189
David Montgomery,CHI,14,61,1,9,13.0,2022,189
Darrynton Evans,CHI,3,21,0,21,13.0,2022,189
Equanimeous St. Brown,CHI,1,1,0,1,13.0,2022,189
Velus Jones Jr.,CHI,1,1,0,1,13.0,2022,189
Cole Kmet,CHI,0,0,0,0,13.0,2022,189
N'Keal Harry,CHI,0,0,0,0,13.0,2022,189
Chase Claypool,CHI,0,0,0,0,13.0,2022,189
Dante Pettis,CHI,0,0,0,0,13.0,2022,189
