Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Jets to receive the opening kickoff.",,,13.0,2022,185
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,185
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,"Zonovan Knight left end for 7 yards (tackle by Akayleb Evans). Penalty on Corey Davis: Offensive Holding, 10 yards (accepted)",0.61,0.41,13.0,2022,185
1.0,14:53,1.0,13.0,NYJ 22,0.0,0.0,Mike White pass complete short right to Zonovan Knight for 5 yards (tackle by Dalvin Tomlinson and Danielle Hunter),0.41,0.33,13.0,2022,185
1.0,14:17,2.0,8.0,NYJ 27,0.0,0.0,Mike White pass complete short right to Tyler Conklin for 6 yards (tackle by Harrison Smith),0.33,0.43,13.0,2022,185
1.0,13:41,3.0,2.0,NYJ 33,0.0,0.0,"Mike White pass short middle (defended by Camryn Bynum) intended for Corey Davis is intercepted by Harrison Smith at NYJ-43 and returned for 8 yards, lateral to Patrick Peterson for no gain (tackle by Elijah Moore)",0.43,-3.31,13.0,2022,185
1.0,13:25,1.0,10.0,NYJ 34,0.0,0.0,Dalvin Cook left guard for 1 yard (tackle by Quinnen Williams),3.31,2.91,13.0,2022,185
1.0,12:49,2.0,9.0,NYJ 33,0.0,0.0,Kirk Cousins pass incomplete short right,2.91,2.21,13.0,2022,185
1.0,12:42,3.0,9.0,NYJ 33,0.0,0.0,Kirk Cousins pass incomplete short right intended for T.J. Hockenson (defended by Quinnen Williams),2.21,1.15,13.0,2022,185
1.0,12:38,4.0,9.0,NYJ 33,0.0,3.0,Greg Joseph 51 yard field goal good,1.15,3.0,13.0,2022,185
1.0,12:33,,,MIN 35,0.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,185
1.0,12:33,1.0,10.0,NYJ 25,0.0,3.0,Zonovan Knight right tackle for 2 yards (tackle by Patrick Jones and Harrison Smith),0.61,0.33,13.0,2022,185
1.0,12:07,2.0,8.0,NYJ 27,0.0,3.0,Mike White pass complete short left to Corey Davis for 9 yards (tackle by Eric Kendricks),0.33,1.33,13.0,2022,185
1.0,11:41,1.0,10.0,NYJ 36,0.0,3.0,Mike White pass complete short left to Elijah Moore for 3 yards (tackle by Harrison Smith),1.33,1.2,13.0,2022,185
1.0,11:15,2.0,7.0,NYJ 39,0.0,3.0,Mike White pass complete to Zonovan Knight for 6 yards (tackle by Chandon Sullivan and Eric Kendricks),1.2,1.29,13.0,2022,185
1.0,10:31,3.0,1.0,NYJ 45,0.0,3.0,James Robinson up the middle for 4 yards (tackle by Eric Kendricks),1.29,2.19,13.0,2022,185
1.0,10:03,1.0,10.0,NYJ 49,0.0,3.0,James Robinson right guard for 4 yards (tackle by Jordan Hicks),2.19,2.19,13.0,2022,185
1.0,9:24,2.0,6.0,MIN 47,0.0,3.0,Mike White pass incomplete short right,2.19,1.49,13.0,2022,185
1.0,9:19,3.0,6.0,MIN 47,0.0,3.0,Mike White pass complete short right to Corey Davis for 17 yards (tackle by Akayleb Evans),1.49,3.58,13.0,2022,185
1.0,8:50,1.0,10.0,MIN 30,0.0,3.0,Mike White pass incomplete short right intended for Ty Johnson,3.58,3.03,13.0,2022,185
1.0,8:45,2.0,10.0,MIN 30,0.0,3.0,Mike White pass incomplete deep right intended for Tyler Conklin,3.03,2.34,13.0,2022,185
1.0,8:40,3.0,10.0,MIN 30,0.0,3.0,Mike White pass incomplete short middle intended for Tyler Conklin,2.34,1.41,13.0,2022,185
1.0,8:34,4.0,10.0,MIN 30,3.0,3.0,Greg Zuerlein 48 yard field goal good,1.41,3.0,13.0,2022,185
1.0,8:30,,,NYJ 35,3.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,185
1.0,8:30,1.0,10.0,MIN 25,3.0,3.0,Kirk Cousins pass incomplete short left intended for Dalvin Cook (defended by Michael Carter),0.61,0.06,13.0,2022,185
1.0,8:26,2.0,10.0,MIN 25,3.0,3.0,Dalvin Cook up the middle for 21 yards (tackle by Michael Carter and Jordan Whitehead),0.06,1.99,13.0,2022,185
1.0,7:50,1.0,10.0,MIN 46,3.0,3.0,Dalvin Cook left tackle for 7 yards (tackle by John Franklin-Myers and Jordan Whitehead),1.99,2.4,13.0,2022,185
1.0,7:26,2.0,3.0,NYJ 47,3.0,3.0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by D.J. Reed),2.4,1.69,13.0,2022,185
1.0,7:20,3.0,3.0,NYJ 47,3.0,3.0,Kirk Cousins pass incomplete deep right intended for Adam Thielen,1.69,0.13,13.0,2022,185
1.0,7:16,4.0,3.0,NYJ 47,3.0,3.0,"Ryan Wright punts 39 yards, fair catch by Braxton Berrios at NYJ-8",0.13,0.38,13.0,2022,185
1.0,7:09,1.0,10.0,NYJ 8,3.0,3.0,Zonovan Knight left tackle for 3 yards (tackle by Khyiris Tonga and Eric Kendricks),-0.38,-0.56,13.0,2022,185
1.0,6:40,2.0,7.0,NYJ 11,3.0,3.0,"Zonovan Knight right guard for 9 yards (tackle by Camryn Bynum and Eric Kendricks). Penalty on Jonathan Bullard: Face Mask (15 Yards), 15 yards (accepted)",-0.56,1.27,13.0,2022,185
1.0,6:15,1.0,10.0,NYJ 35,3.0,3.0,"Penalty on Corey Davis: False Start, 5 yards (accepted) (no play)",1.27,0.94,13.0,2022,185
1.0,5:53,1.0,15.0,NYJ 30,3.0,3.0,Mike White pass incomplete short middle intended for Corey Davis,0.94,0.05,13.0,2022,185
1.0,5:49,2.0,15.0,NYJ 30,3.0,3.0,Mike White pass incomplete deep left intended for Denzel Mims (defended by Akayleb Evans),0.05,-0.63,13.0,2022,185
1.0,5:43,3.0,15.0,NYJ 30,3.0,3.0,Mike White pass complete short right to Ty Johnson for 7 yards (tackle by Eric Kendricks),-0.63,-0.91,13.0,2022,185
1.0,5:07,4.0,8.0,NYJ 37,3.0,3.0,Braden Mann punts 37 yards out of bounds,-0.91,-0.67,13.0,2022,185
1.0,5:00,1.0,10.0,MIN 26,3.0,3.0,Dalvin Cook up the middle for 4 yards (tackle by Jordan Whitehead),0.67,0.67,13.0,2022,185
1.0,4:22,2.0,6.0,MIN 30,3.0,3.0,Dalvin Cook up the middle for 4 yards (tackle by Nathan Shepherd and Vinny Curry),0.67,0.5,13.0,2022,185
