Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA,week,year,game_id
1.0,2:57,3.0,2.0,CIN 34,3.0,7.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 7 yards (tackle by Nick Bolton),0.5,1.66,13.0,2022,192
1.0,2:17,1.0,10.0,CIN 41,3.0,7.0,Samaje Perine left end for 2 yards (tackle by Frank Clark and Taylor Stallworth),1.66,1.39,13.0,2022,192
1.0,1:38,2.0,8.0,CIN 43,3.0,7.0,"Joe Burrow pass short middle is intercepted by Juan Thornhill at KC-42 and returned for no gain (tackle by Cordell Volson). Penalty on Trent McDuffie: Defensive Pass Interference, 10 yards (accepted) (no play)",1.39,2.46,13.0,2022,192
1.0,1:23,1.0,10.0,KAN 47,3.0,7.0,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Taylor Stallworth: Roughing the Passer, 15 yards (accepted) (no play)",2.46,3.45,13.0,2022,192
1.0,1:17,1.0,10.0,KAN 32,3.0,7.0,Samaje Perine right guard for 8 yards (tackle by Joshua Williams and Nick Bolton),3.45,3.98,13.0,2022,192
1.0,0:32,2.0,2.0,KAN 24,3.0,7.0,Samaje Perine left guard for 10 yards (tackle by Justin Reid),3.98,4.65,13.0,2022,192
2.0,15:00,1.0,10.0,KAN 14,3.0,7.0,Samaje Perine up the middle for -5 yards (tackle by Willie Gay),4.65,3.37,13.0,2022,192
2.0,14:22,2.0,15.0,KAN 19,3.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Joshua Williams),3.37,3.43,13.0,2022,192
2.0,13:39,3.0,8.0,KAN 12,3.0,13.0,"Joe Burrow pass complete short right to Tee Higgins for 12 yards, touchdown",3.43,7.0,13.0,2022,192
2.0,13:33,,,KAN 15,3.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2022,192
2.0,13:33,,,CIN 35,3.0,14.0,"Penalty on Ja'Marr Chase: Taunting / Offense, 15 yards (accepted) (no play)",0.0,0.0,13.0,2022,192
2.0,13:33,,,CIN 20,3.0,14.0,"Evan McPherson kicks off 69 yards, returned by Isiah Pacheco for 19 yards (tackle by Joe Bachie)",0.0,0.94,13.0,2022,192
2.0,13:28,1.0,10.0,KAN 30,3.0,14.0,Isiah Pacheco left guard for 3 yards (tackle by B.J. Hill),0.94,0.8,13.0,2022,192
2.0,12:48,2.0,7.0,KAN 33,3.0,14.0,Patrick Mahomes sacked by Sam Hubbard for -8 yards,0.8,-0.96,13.0,2022,192
2.0,12:10,3.0,15.0,KAN 25,3.0,14.0,"Patrick Mahomes pass complete deep left to Justin Watson for no gain (tackle by Mike Hilton). Penalty on Nick Allegretti: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Andrew Wylie: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.96,-1.62,13.0,2022,192
2.0,11:40,3.0,20.0,KAN 20,3.0,14.0,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,-1.62,-2.03,13.0,2022,192
2.0,11:31,4.0,20.0,KAN 20,3.0,14.0,"Tommy Townsend punts 55 yards, returned by Trent Taylor for 10 yards (tackle by Jerick McKinnon)",-2.03,-1.27,13.0,2022,192
2.0,11:20,1.0,10.0,CIN 35,3.0,14.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.27,0.72,13.0,2022,192
2.0,11:15,2.0,10.0,CIN 35,3.0,14.0,"Joe Burrow pass complete short left to Ja'Marr Chase for no gain (tackle by Justin Reid). Penalty on Ja'Marr Chase: Offensive Pass Interference, 10 yards (accepted) (no play)",0.72,-0.63,13.0,2022,192
2.0,10:54,2.0,20.0,CIN 25,3.0,14.0,Samaje Perine right end for 8 yards (tackle by L'Jarius Sneed and Juan Thornhill),-0.63,-0.23,13.0,2022,192
2.0,10:13,3.0,12.0,CIN 33,3.0,14.0,Joe Burrow scrambles right end for 8 yards (tackle by George Karlaftis),-0.23,-0.65,13.0,2022,192
2.0,9:33,4.0,4.0,CIN 41,3.0,14.0,"Drue Chrisman punts 40 yards, fair catch by Justin Watson at KC-19",-0.65,-0.15,13.0,2022,192
2.0,9:28,1.0,10.0,KAN 19,3.0,14.0,Patrick Mahomes pass complete short middle to Noah Gray for 15 yards (tackle by Jessie Bates),0.15,1.2,13.0,2022,192
2.0,8:54,1.0,10.0,KAN 34,3.0,14.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 12 yards (tackle by Logan Wilson),1.2,1.99,13.0,2022,192
2.0,8:20,1.0,10.0,KAN 46,3.0,14.0,Isiah Pacheco right guard for 9 yards (tackle by Vonn Bell),1.99,2.67,13.0,2022,192
2.0,7:45,2.0,1.0,CIN 45,3.0,14.0,Isiah Pacheco right tackle for 2 yards (tackle by B.J. Hill),2.67,2.72,13.0,2022,192
2.0,7:03,1.0,10.0,CIN 43,3.0,14.0,Patrick Mahomes pass incomplete deep left intended for JuJu Smith-Schuster (defended by Cam Taylor-Britt),2.72,2.18,13.0,2022,192
2.0,6:55,2.0,10.0,CIN 43,3.0,14.0,Patrick Mahomes scrambles right guard for 6 yards (tackle by Germaine Pratt),2.18,2.28,13.0,2022,192
2.0,6:14,3.0,4.0,CIN 37,3.0,14.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Vonn Bell),2.28,0.79,13.0,2022,192
2.0,6:08,4.0,4.0,CIN 37,3.0,14.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Cam Taylor-Britt),0.79,3.45,13.0,2022,192
2.0,5:14,1.0,10.0,CIN 32,3.0,14.0,Jerick McKinnon left tackle for 8 yards (tackle by Cameron Sample),3.45,3.98,13.0,2022,192
2.0,4:38,2.0,2.0,CIN 24,3.0,14.0,Skyy Moore right end for 12 yards (tackle by Cameron Sample and Jessie Bates),3.98,4.78,13.0,2022,192
2.0,3:59,1.0,10.0,CIN 12,3.0,14.0,Jerick McKinnon right end for 11 yards (tackle by Vonn Bell and Jessie Bates),4.78,6.97,13.0,2022,192
2.0,3:17,1.0,1.0,CIN 1,3.0,14.0,Jerick McKinnon right tackle for -1 yards (tackle by Logan Wilson),6.97,5.72,13.0,2022,192
2.0,2:34,2.0,2.0,CIN 2,3.0,14.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,5.72,4.95,13.0,2022,192
2.0,2:28,3.0,2.0,CIN 2,9.0,14.0,"Patrick Mahomes pass complete short left to Jerick McKinnon for 2 yards, touchdown",4.95,7.0,13.0,2022,192
2.0,2:23,,,CIN 15,10.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,13.0,2022,192
2.0,2:23,,,KAN 35,10.0,14.0,"Penalty on D.J. Reader: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,13.0,2022,192
2.0,2:23,,,KAN 50,10.0,14.0,"Harrison Butker kicks off 38 yards, returned by Trayveon Williams for 11 yards (tackle by Leo Chenal)",0.0,0.48,13.0,2022,192
2.0,2:20,1.0,10.0,CIN 23,10.0,14.0,Samaje Perine left guard for 9 yards (tackle by Frank Clark),0.48,1.15,13.0,2022,192
2.0,2:00,2.0,1.0,CIN 32,10.0,14.0,Samaje Perine left guard for 6 yards (tackle by Carlos Dunlap and Nick Bolton),1.15,1.47,13.0,2022,192
2.0,1:42,1.0,10.0,CIN 38,10.0,14.0,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Trent McDuffie),1.47,2.14,13.0,2022,192
2.0,1:21,2.0,1.0,CIN 47,10.0,14.0,Joe Burrow pass complete deep right to Ja'Marr Chase for 40 yards (tackle by Juan Thornhill),2.14,4.71,13.0,2022,192
2.0,1:10,1.0,10.0,KAN 13,10.0,14.0,Samaje Perine right guard for 7 yards (tackle by Justin Reid and Juan Thornhill),4.71,5.34,13.0,2022,192
2.0,1:01,,,,,,Timeout #1 by Kansas City Chiefs,,,13.0,2022,192
2.0,1:01,2.0,3.0,KAN 6,10.0,14.0,Samaje Perine up the middle for 2 yards (tackle by Chris Jones and Trent McDuffie),5.34,5.01,13.0,2022,192
2.0,0:55,,,,,,Timeout #2 by Kansas City Chiefs,,,13.0,2022,192
2.0,0:55,3.0,1.0,KAN 4,10.0,14.0,Joe Burrow right guard for no gain (tackle by Carlos Dunlap),5.01,3.04,13.0,2022,192
2.0,0:51,,,,,,Timeout #3 by Kansas City Chiefs,,,13.0,2022,192
2.0,0:51,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2022,192
2.0,0:51,4.0,1.0,KAN 4,10.0,14.0,Trent Taylor right end for -3 yards (tackle by Carlos Dunlap),3.04,0.38,13.0,2022,192
2.0,0:49,1.0,10.0,KAN 7,10.0,14.0,Isiah Pacheco left guard for 3 yards (tackle by Cameron Sample),-0.38,-0.56,13.0,2022,192
2.0,0:06,2.0,7.0,KAN 10,10.0,14.0,Isiah Pacheco left guard for 16 yards (tackle by Tre Flowers),-0.56,0.67,13.0,2022,192
3.0,15:00,,,CIN 35,10.0,14.0,"Evan McPherson kicks off 59 yards, returned by Isiah Pacheco for 17 yards (tackle by Akeem Davis-Gaither)",0.0,0.48,13.0,2022,192
3.0,14:56,1.0,10.0,KAN 23,10.0,14.0,Isiah Pacheco left guard for 3 yards (tackle by D.J. Reader and Logan Wilson),0.48,0.34,13.0,2022,192
3.0,14:21,2.0,7.0,KAN 26,10.0,14.0,Patrick Mahomes pass incomplete deep middle intended for Marquez Valdes-Scantling (defended by Vonn Bell),0.34,-0.36,13.0,2022,192
3.0,14:15,3.0,7.0,KAN 26,10.0,14.0,Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 42 yards (tackle by Eli Apple),-0.36,3.45,13.0,2022,192
3.0,13:30,1.0,10.0,CIN 32,10.0,14.0,Patrick Mahomes pass complete short right to Travis Kelce for 18 yards (tackle by Vonn Bell and Josh Tupou),3.45,4.65,13.0,2022,192
3.0,12:52,1.0,10.0,CIN 14,10.0,14.0,Jerick McKinnon right tackle for 6 yards (tackle by D.J. Reader),4.65,5.09,13.0,2022,192
3.0,12:15,2.0,4.0,CIN 8,10.0,14.0,Patrick Mahomes pass incomplete short right,5.09,4.28,13.0,2022,192
3.0,12:07,3.0,4.0,CIN 8,16.0,14.0,"Isiah Pacheco left guard for 8 yards, touchdown",4.28,7.0,13.0,2022,192
3.0,12:03,,,CIN 15,17.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,13.0,2022,192
3.0,12:03,,,KAN 35,17.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,192
3.0,12:03,1.0,10.0,CIN 25,17.0,14.0,Samaje Perine left guard for 2 yards (tackle by Chris Jones and Nick Bolton),0.61,0.33,13.0,2022,192
3.0,11:26,2.0,8.0,CIN 27,17.0,14.0,Joe Burrow pass complete short left to Tyler Boyd for 18 yards (tackle by Juan Thornhill),0.33,1.93,13.0,2022,192
3.0,10:42,1.0,10.0,CIN 45,17.0,14.0,Joe Burrow pass complete short middle to Tyler Boyd for 19 yards (tackle by Justin Reid),1.93,3.18,13.0,2022,192
3.0,10:03,1.0,10.0,KAN 36,17.0,14.0,Samaje Perine left end for 9 yards (tackle by Nick Bolton and Derrick Nnadi),3.18,3.85,13.0,2022,192
3.0,9:28,2.0,1.0,KAN 27,17.0,14.0,Joe Burrow right guard for 2 yards (tackle by Willie Gay),3.85,3.91,13.0,2022,192
3.0,8:44,1.0,10.0,KAN 25,17.0,14.0,Samaje Perine right guard for 3 yards (tackle by Nick Bolton and Chris Jones),3.91,3.77,13.0,2022,192
3.0,8:08,2.0,7.0,KAN 22,17.0,14.0,Joe Burrow pass complete short right to Samaje Perine for 4 yards (tackle by Joshua Williams),3.77,3.66,13.0,2022,192
3.0,7:25,3.0,3.0,KAN 18,17.0,14.0,Joe Burrow pass incomplete deep left intended for Tyler Boyd,3.66,2.35,13.0,2022,192
3.0,7:20,4.0,3.0,KAN 18,17.0,17.0,Evan McPherson 36 yard field goal good,2.35,3.0,13.0,2022,192
3.0,7:16,,,CIN 35,17.0,17.0,"Evan McPherson kicks off 62 yards, returned by Isiah Pacheco for 44 yards (tackle by Evan McPherson)",0.0,2.06,13.0,2022,192
3.0,7:08,1.0,10.0,KAN 47,17.0,17.0,Patrick Mahomes pass complete short left to Justin Watson for 15 yards (tackle by Vonn Bell),2.06,3.05,13.0,2022,192
3.0,6:24,1.0,10.0,CIN 38,17.0,17.0,Isiah Pacheco left end for no gain (tackle by Sam Hubbard),3.05,2.51,13.0,2022,192
3.0,5:50,2.0,10.0,CIN 38,17.0,17.0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,2.51,1.82,13.0,2022,192
3.0,5:45,3.0,10.0,CIN 38,17.0,17.0,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 29 yards (tackle by Mike Hilton),1.82,5.14,13.0,2022,192
3.0,5:18,1.0,9.0,CIN 9,17.0,17.0,Isiah Pacheco right end for 6 yards (tackle by Eli Apple),5.14,5.53,13.0,2022,192
3.0,4:40,2.0,3.0,CIN 3,17.0,17.0,Jerick McKinnon left tackle for no gain (tackle by Logan Wilson),5.53,4.72,13.0,2022,192
3.0,4:03,3.0,3.0,CIN 3,17.0,17.0,Patrick Mahomes pass incomplete short left,4.72,3.04,13.0,2022,192
3.0,3:56,4.0,3.0,CIN 3,23.0,17.0,"Patrick Mahomes scrambles up the middle for 3 yards, touchdown",3.04,7.0,13.0,2022,192
3.0,3:49,,,CIN 15,24.0,17.0,Harrison Butker kicks extra point good,0.0,0.0,13.0,2022,192
3.0,3:49,,,KAN 35,24.0,17.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,192
3.0,3:49,1.0,10.0,CIN 25,24.0,17.0,Joe Burrow pass complete short left to Samaje Perine for 3 yards (tackle by L'Jarius Sneed),0.61,0.47,13.0,2022,192
3.0,3:05,2.0,7.0,CIN 28,24.0,17.0,Joe Burrow pass complete deep right to Ja'Marr Chase for 22 yards (tackle by Joshua Williams),0.47,0.0,13.0,2022,192
3.0,2:28,1.0,10.0,CIN 0,24.0,17.0,"Joe Burrow pass incomplete short left intended for Samaje Perine. Penalty on Jonah Williams: Offensive Holding, 10 yards (accepted) (no play)",0.0,1.6,13.0,2022,192
3.0,2:21,1.0,20.0,CIN 40,24.0,17.0,Joe Burrow pass complete short left to Trenton Irwin for 12 yards (tackle by L'Jarius Sneed and Nick Bolton),1.6,1.98,13.0,2022,192
3.0,1:38,2.0,8.0,KAN 48,24.0,17.0,Joe Burrow right tackle for 16 yards (tackle by Juan Thornhill),1.98,3.45,13.0,2022,192
3.0,0:55,1.0,10.0,KAN 32,24.0,17.0,"Joe Burrow pass incomplete short right. Penalty on Carlos Dunlap: Defensive Holding, 5 yards (accepted) (no play)",3.45,3.78,13.0,2022,192
3.0,0:51,1.0,10.0,KAN 27,24.0,17.0,Samaje Perine left guard for 8 yards (tackle by Nick Bolton and Khalen Saunders),3.78,4.35,13.0,2022,192
3.0,0:15,2.0,2.0,KAN 19,24.0,17.0,Samaje Perine left end for 1 yard (tackle by Willie Gay),4.35,3.84,13.0,2022,192
4.0,15:00,3.0,1.0,KAN 18,24.0,17.0,"Joe Burrow pass incomplete deep left intended for Tee Higgins (tackle by Trent McDuffie). Penalty on Jonah Williams: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.84,3.07,13.0,2022,192
4.0,14:56,3.0,6.0,KAN 23,24.0,17.0,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Willie Gay),3.07,1.95,13.0,2022,192
4.0,14:52,4.0,6.0,KAN 23,24.0,20.0,Evan McPherson 41 yard field goal good,1.95,3.0,13.0,2022,192
