Unnamed: 0,BUF,NWE,week,year,game_id
First Downs,22,14,13.0,2022,181
Rush-Yds-TDs,37-132-1,14-60-0,13.0,2022,181
Cmp-Att-Yd-TD-INT,22-33-223-2-0,22-36-195-1-0,13.0,2022,181
Sacked-Yards,2-0,1-13,13.0,2022,181
Net Pass Yards,223,182,13.0,2022,181
Total Yards,355,242,13.0,2022,181
Fumbles-Lost,1-1,2-0,13.0,2022,181
Turnovers,1,0,13.0,2022,181
Penalties-Yards,6-47,6-62,13.0,2022,181
Third Down Conv.,9-15,3-12,13.0,2022,181
Fourth Down Conv.,0-0,1-1,13.0,2022,181
Time of Possession,38:08,21:52,13.0,2022,181
