Unnamed: 0,CLE,HOU,week,year,game_id
First Downs,14,16,13.0,2022,182
Rush-Yds-TDs,38-174-0,22-82-0,13.0,2022,182
Cmp-Att-Yd-TD-INT,12-22-131-0-1,20-39-201-1-2,13.0,2022,182
Sacked-Yards,1-1,0-0,13.0,2022,182
Net Pass Yards,130,201,13.0,2022,182
Total Yards,304,283,13.0,2022,182
Fumbles-Lost,2-1,3-2,13.0,2022,182
Turnovers,2,4,13.0,2022,182
Penalties-Yards,6-56,5-31,13.0,2022,182
Third Down Conv.,4-13,1-12,13.0,2022,182
Fourth Down Conv.,0-0,1-2,13.0,2022,182
Time of Possession,32:16,27:44,13.0,2022,182
