Unnamed: 0,GNB,CHI,week,year,game_id
First Downs,21,15,13.0,2022,189
Rush-Yds-TDs,32-175-2,25-155-2,13.0,2022,189
Cmp-Att-Yd-TD-INT,18-31-182-1-0,20-25-254-0-2,13.0,2022,189
Sacked-Yards,0-0,0-0,13.0,2022,189
Net Pass Yards,182,254,13.0,2022,189
Total Yards,357,409,13.0,2022,189
Fumbles-Lost,0-0,1-1,13.0,2022,189
Turnovers,0,3,13.0,2022,189
Penalties-Yards,2-20,5-63,13.0,2022,189
Third Down Conv.,6-13,6-11,13.0,2022,189
Fourth Down Conv.,1-2,0-0,13.0,2022,189
Time of Possession,32:28,27:32,13.0,2022,189
