Unnamed: 0,KAN,CIN,week,year,game_id
First Downs,20,26,13.0,2022,192
Rush-Yds-TDs,25-138-2,34-152-1,13.0,2022,192
Cmp-Att-Yd-TD-INT,16-27-223-1-0,25-31-286-2-0,13.0,2022,192
Sacked-Yards,2-12,1-7,13.0,2022,192
Net Pass Yards,211,279,13.0,2022,192
Total Yards,349,431,13.0,2022,192
Fumbles-Lost,1-1,0-0,13.0,2022,192
Turnovers,1,0,13.0,2022,192
Penalties-Yards,4-35,6-65,13.0,2022,192
Third Down Conv.,6-11,7-11,13.0,2022,192
Fourth Down Conv.,2-2,0-1,13.0,2022,192
Time of Possession,27:54,32:06,13.0,2022,192
