Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
AJ Dillon,GNB,18,93,1,5.0,74,4.1,19,1.1,1,18.0,13.0,2022,189
Aaron Jones,GNB,9,26,0,1.0,12,1.3,14,1.6,2,4.5,13.0,2022,189
Aaron Rodgers,GNB,3,4,0,0.0,4,1.3,0,0.0,0,,13.0,2022,189
Patrick Taylor,GNB,1,6,0,1.0,4,4.0,2,2.0,0,,13.0,2022,189
Christian Watson,GNB,1,46,1,1.0,46,46.0,0,0.0,0,,13.0,2022,189
David Montgomery,CHI,14,61,1,4.0,44,3.1,17,1.2,1,14.0,13.0,2022,189
Justin Fields,CHI,6,71,1,2.0,16,2.7,55,9.2,1,6.0,13.0,2022,189
Darrynton Evans,CHI,3,21,0,1.0,3,1.0,18,6.0,0,,13.0,2022,189
Velus Jones Jr.,CHI,1,1,0,,0,0.0,1,1.0,1,1.0,13.0,2022,189
Equanimeous St. Brown,CHI,1,1,0,0.0,1,1.0,0,0.0,0,,13.0,2022,189
