Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,,13.0,2022,193
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,193
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs left guard for 1 yard (tackle by Bryce Callahan and Sebastian Joseph-Day),0.61,0.2,13.0,2022,193
1.0,14:21,2.0,9.0,LVR 26,0.0,0.0,Derek Carr pass complete short middle to Mack Hollins for 5 yards (tackle by Kenneth Murray),0.2,0.17,13.0,2022,193
1.0,13:36,3.0,4.0,LVR 31,0.0,0.0,Derek Carr pass incomplete short right,0.17,-1.31,13.0,2022,193
1.0,13:29,4.0,4.0,LVR 31,0.0,0.0,"AJ Cole punts 60 yards, returned by DeAndre Carter for 23 yards (tackle by Trent Sieg)",-1.31,-1.07,13.0,2022,193
1.0,13:17,1.0,10.0,LAC 32,0.0,0.0,"Justin Herbert for 2 yards. Justin Herbert fumbles (forced by Maxx Crosby), recovered by Justin Herbert at LAC-24",1.07,0.8,13.0,2022,193
1.0,12:35,2.0,8.0,LAC 34,0.0,0.0,Austin Ekeler right tackle for 5 yards (tackle by Jayon Brown),0.8,0.76,13.0,2022,193
1.0,11:56,3.0,3.0,LAC 39,0.0,0.0,Justin Herbert sacked by Chandler Jones for no gain,0.76,-0.78,13.0,2022,193
1.0,11:20,4.0,3.0,LAC 39,0.0,0.0,Joshua Kelley up the middle for 5 yards (tackle by Isaiah Pola-Mao),-0.78,1.86,13.0,2022,193
1.0,10:36,1.0,10.0,LAC 44,0.0,0.0,Justin Herbert pass incomplete short right,1.86,1.32,13.0,2022,193
1.0,10:31,2.0,10.0,LAC 44,0.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Nate Hobbs),1.32,1.29,13.0,2022,193
1.0,9:55,3.0,5.0,LAC 49,0.0,0.0,Justin Herbert pass incomplete short right intended for Joshua Kelley,1.29,-0.13,13.0,2022,193
1.0,9:50,4.0,5.0,LAC 49,0.0,0.0,JK Scott punts 45 yards out of bounds,-0.13,0.38,13.0,2022,193
1.0,9:41,1.0,10.0,LVR 6,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Nasir Adderley and Sebastian Joseph-Day),-0.38,-0.49,13.0,2022,193
1.0,9:03,2.0,6.0,LVR 10,0.0,0.0,Josh Jacobs up the middle for 9 yards (tackle by Derwin James),-0.49,0.15,13.0,2022,193
1.0,8:23,1.0,10.0,LVR 19,0.0,0.0,"Derek Carr pass complete short middle to Josh Jacobs for no gain. Penalty on Asante Samuel: Defensive Holding, 5 yards (accepted) (no play)",0.15,0.54,13.0,2022,193
1.0,7:50,1.0,10.0,LVR 24,0.0,0.0,"Derek Carr pass complete short left to Josh Jacobs for 1 yard. Josh Jacobs fumbles (forced by Kenneth Murray), recovered by Kyle Van Noy at LV-25",0.54,-3.91,13.0,2022,193
1.0,7:39,1.0,10.0,LVR 25,0.0,0.0,Austin Ekeler up the middle for 5 yards (tackle by Jayon Brown),3.91,4.04,13.0,2022,193
1.0,7:04,2.0,5.0,LVR 20,0.0,0.0,Justin Herbert scrambles right guard for 3 yards (tackle by Jayon Brown),4.04,3.85,13.0,2022,193
1.0,6:23,3.0,2.0,LVR 17,0.0,0.0,Justin Herbert pass incomplete deep middle intended for Austin Ekeler,3.85,2.44,13.0,2022,193
1.0,6:16,4.0,2.0,LVR 17,0.0,0.0,Justin Herbert scrambles up the middle for 1 yard (tackle by Chandler Jones),2.44,0.14,13.0,2022,193
1.0,6:11,1.0,10.0,LVR 16,0.0,0.0,Derek Carr pass incomplete deep right intended for Foster Moreau (defended by Nasir Adderley),-0.14,-0.66,13.0,2022,193
1.0,6:03,2.0,10.0,LVR 16,0.0,0.0,Derek Carr pass complete short right to Josh Jacobs for 5 yards (tackle by Asante Samuel),-0.66,-0.7,13.0,2022,193
1.0,5:15,3.0,5.0,LVR 21,6.0,0.0,"Derek Carr pass short left (defended by Asante Samuel) intended for Mack Hollins is intercepted by Bryce Callahan at LV-26 and returned for 26 yards, touchdown",-0.7,-7.0,13.0,2022,193
1.0,5:07,,,LVR 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,13.0,2022,193
1.0,5:07,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,193
1.0,5:07,1.0,10.0,LVR 25,7.0,0.0,"Josh Jacobs left guard for 8 yards (tackle by Drue Tranquill). Penalty on Breiden Fehoko: Defensive Holding, 5 yards (accepted)",0.61,1.47,13.0,2022,193
1.0,4:59,1.0,10.0,LVR 38,7.0,0.0,Josh Jacobs right guard for no gain (tackle by Bryce Callahan),1.47,0.92,13.0,2022,193
1.0,4:08,2.0,10.0,LVR 38,7.0,0.0,Josh Jacobs right guard for 4 yards (tackle by Drue Tranquill),0.92,0.76,13.0,2022,193
1.0,3:29,3.0,6.0,LVR 42,7.0,0.0,Derek Carr pass incomplete deep right intended for Ameer Abdullah,0.76,-0.59,13.0,2022,193
1.0,3:22,4.0,6.0,LVR 42,7.0,0.0,"AJ Cole punts 58 yards, touchback.",-0.59,-0.28,13.0,2022,193
1.0,3:12,1.0,10.0,LAC 20,7.0,0.0,Justin Herbert pass complete short left to Gerald Everett for 14 yards (tackle by Duron Harmon),0.28,1.2,13.0,2022,193
1.0,2:36,1.0,10.0,LAC 34,7.0,0.0,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Amik Robertson),1.2,0.66,13.0,2022,193
1.0,2:29,2.0,10.0,LAC 34,7.0,0.0,Joshua Kelley right tackle for 7 yards (tackle by Roderic Teamer and Denzel Perryman),0.66,0.89,13.0,2022,193
1.0,1:51,3.0,3.0,LAC 41,7.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Nate Hobbs),0.89,2.39,13.0,2022,193
1.0,1:17,1.0,10.0,LVR 48,7.0,0.0,"Justin Herbert aborted snap, recovered by Justin Herbert at LV-48 Justin Herbert pass complete short right to Tre' McKitty for 8 yards (tackle by Nate Hobbs)",2.39,2.93,13.0,2022,193
1.0,0:37,2.0,2.0,LVR 40,7.0,0.0,Joshua Kelley up the middle for 3 yards (tackle by Jayon Brown and Denzel Perryman),2.93,3.12,13.0,2022,193
2.0,15:00,1.0,10.0,LVR 37,7.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Roderic Teamer),3.12,3.52,13.0,2022,193
2.0,14:23,2.0,3.0,LVR 30,7.0,0.0,Joshua Kelley right guard for 2 yards (tackle by Jayon Brown and Roderic Teamer),3.52,3.07,13.0,2022,193
2.0,13:46,3.0,1.0,LVR 28,7.0,0.0,Austin Ekeler left guard for 8 yards (tackle by Sam Webb and Duron Harmon),3.07,4.24,13.0,2022,193
2.0,13:13,1.0,10.0,LVR 20,7.0,0.0,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Trevon Moehrig),4.24,3.69,13.0,2022,193
2.0,13:03,2.0,10.0,LVR 20,7.0,0.0,Austin Ekeler right tackle for 5 yards (tackle by Nate Hobbs and Trevon Moehrig),3.69,3.7,13.0,2022,193
2.0,12:22,3.0,5.0,LVR 15,7.0,0.0,Justin Herbert sacked by Chandler Jones for -4 yards,3.7,2.18,13.0,2022,193
2.0,11:41,4.0,9.0,LVR 19,10.0,0.0,Cameron Dicker 37 yard field goal good,2.18,3.0,13.0,2022,193
2.0,11:37,,,LAC 35,10.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,193
2.0,11:37,1.0,10.0,LVR 25,10.0,0.0,Derek Carr pass complete short left to Davante Adams for 12 yards (tackle by Asante Samuel),0.61,1.4,13.0,2022,193
2.0,11:02,1.0,10.0,LVR 37,10.0,0.0,Derek Carr pass incomplete short left intended for Mack Hollins,1.4,0.86,13.0,2022,193
2.0,10:57,2.0,10.0,LVR 37,10.0,0.0,Derek Carr pass complete deep middle to Davante Adams for 19 yards (tackle by Michael Davis),0.86,2.65,13.0,2022,193
2.0,10:16,1.0,10.0,LAC 44,10.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Khalil Mack and Morgan Fox),2.65,2.25,13.0,2022,193
2.0,9:40,2.0,9.0,LAC 43,10.0,0.0,Derek Carr pass incomplete short right,2.25,1.55,13.0,2022,193
2.0,9:29,3.0,9.0,LAC 43,10.0,0.0,Derek Carr pass complete short left to Mack Hollins for 14 yards (tackle by Bryce Callahan),1.55,3.64,13.0,2022,193
2.0,8:47,1.0,10.0,LAC 29,10.0,0.0,Josh Jacobs left end for 9 yards (tackle by Chris Rumph),3.64,4.32,13.0,2022,193
2.0,7:57,2.0,1.0,LAC 20,10.0,6.0,"Josh Jacobs up the middle for 20 yards, touchdown",4.32,7.0,13.0,2022,193
2.0,7:52,,,LAC 15,10.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,13.0,2022,193
2.0,7:52,,,LVR 35,10.0,7.0,"Daniel Carlson kicks off 64 yards, returned by DeAndre Carter for 21 yards (tackle by Malcolm Koonce)",0.0,0.41,13.0,2022,193
2.0,7:47,1.0,10.0,LAC 22,10.0,7.0,Joshua Kelley right guard for 5 yards (tackle by Bilal Nichols and Denzel Perryman),0.41,0.54,13.0,2022,193
2.0,7:11,2.0,5.0,LAC 27,10.0,7.0,Justin Herbert sacked by Isaiah Pola-Mao for -9 yards,0.54,-1.49,13.0,2022,193
2.0,6:29,3.0,14.0,LAC 18,10.0,7.0,Justin Herbert pass complete short middle to Gerald Everett for 13 yards (tackle by Amik Robertson),-1.49,-1.31,13.0,2022,193
2.0,5:46,4.0,1.0,LAC 31,10.0,7.0,"JK Scott punts 48 yards, fair catch by Keelan Cole at LV-21",-1.31,-0.34,13.0,2022,193
2.0,5:39,1.0,10.0,LVR 21,10.0,7.0,Josh Jacobs right tackle for no gain (tackle by Morgan Fox and Bryce Callahan),0.34,-0.2,13.0,2022,193
2.0,5:03,2.0,10.0,LVR 21,10.0,7.0,Derek Carr pass complete deep right to Foster Moreau for 32 yards (tackle by Drue Tranquill),-0.2,2.46,13.0,2022,193
2.0,4:17,1.0,10.0,LAC 47,10.0,7.0,Josh Jacobs right tackle for 1 yard (tackle by Morgan Fox),2.46,2.05,13.0,2022,193
2.0,3:40,2.0,9.0,LAC 46,10.0,7.0,Derek Carr pass incomplete short right intended for Foster Moreau,2.05,1.35,13.0,2022,193
2.0,3:34,3.0,9.0,LAC 46,10.0,7.0,"Derek Carr pass complete short right to Davante Adams for no gain (tackle by Michael Davis). Penalty on Asante Samuel: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.35,2.85,13.0,2022,193
2.0,3:07,1.0,10.0,LAC 41,10.0,7.0,Josh Jacobs left guard for 4 yards (tackle by Derrek Tuszka),2.85,2.85,13.0,2022,193
2.0,2:32,2.0,6.0,LAC 37,10.0,7.0,Derek Carr pass incomplete deep left intended for Davante Adams,2.85,2.15,13.0,2022,193
2.0,2:26,3.0,6.0,LAC 37,10.0,7.0,Derek Carr pass incomplete short left intended for Davante Adams,2.15,0.79,13.0,2022,193
2.0,2:22,4.0,6.0,LAC 37,10.0,10.0,Daniel Carlson 55 yard field goal good,0.79,3.0,13.0,2022,193
2.0,2:17,,,LVR 35,10.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,193
2.0,2:17,1.0,10.0,LAC 25,10.0,10.0,Austin Ekeler left guard for 1 yard (tackle by Luke Masterson and Chandler Jones),0.61,0.2,13.0,2022,193
2.0,2:00,2.0,9.0,LAC 26,10.0,10.0,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Duron Harmon),0.2,1.4,13.0,2022,193
