Unnamed: 0,NYJ,MIN,week,year,game_id
First Downs,23,21,13.0,2022,185
Rush-Yds-TDs,24-120-1,29-128-2,13.0,2022,185
Cmp-Att-Yd-TD-INT,31-58-369-0-2,21-35-173-1-0,13.0,2022,185
Sacked-Yards,1-3,2-14,13.0,2022,185
Net Pass Yards,366,159,13.0,2022,185
Total Yards,486,287,13.0,2022,185
Fumbles-Lost,0-0,0-0,13.0,2022,185
Turnovers,2,0,13.0,2022,185
Penalties-Yards,6-40,3-44,13.0,2022,185
Third Down Conv.,3-16,9-18,13.0,2022,185
Fourth Down Conv.,2-5,1-1,13.0,2022,185
Time of Possession,31:38,28:22,13.0,2022,185
