Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Ryan Tannehill,TEN,3,34,0,17,13.0,2022,187
Malik Willis,TEN,1,8,0,8,13.0,2022,187
Derrick Henry,TEN,11,30,0,6,13.0,2022,187
Julius Chestnut,TEN,5,13,0,5,13.0,2022,187
Dontrell Hilliard,TEN,1,2,0,2,13.0,2022,187
Chigoziem Okonkwo,TEN,0,0,0,0,13.0,2022,187
Treylon Burks,TEN,0,0,0,0,13.0,2022,187
Austin Hooper,TEN,0,0,0,0,13.0,2022,187
Robert Woods,TEN,0,0,0,0,13.0,2022,187
C.J. Board,TEN,0,0,0,0,13.0,2022,187
Geoff Swaim,TEN,0,0,0,0,13.0,2022,187
Nick Westbrook-Ikhine,TEN,0,0,0,0,13.0,2022,187
Jalen Hurts,PHI,5,12,1,4,13.0,2022,187
Gardner Minshew II,PHI,0,0,0,0,13.0,2022,187
Miles Sanders,PHI,10,24,1,5,13.0,2022,187
Boston Scott,PHI,6,16,0,5,13.0,2022,187
Kenneth Gainwell,PHI,3,15,0,13,13.0,2022,187
A.J. Brown,PHI,0,0,0,0,13.0,2022,187
DeVonta Smith,PHI,0,0,0,0,13.0,2022,187
Jack Stoll,PHI,0,0,0,0,13.0,2022,187
Quez Watkins,PHI,0,0,0,0,13.0,2022,187
Grant Calcaterra,PHI,0,0,0,0,13.0,2022,187
Zach Pascal,PHI,0,0,0,0,13.0,2022,187
