Unnamed: 0,TEN,PHI,week,year,game_id
First Downs,11,26,13.0,2022,187
Rush-Yds-TDs,21-87-0,24-67-2,13.0,2022,187
Cmp-Att-Yd-TD-INT,16-26-157-1-0,30-41-391-3-0,13.0,2022,187
Sacked-Yards,6-35,2-5,13.0,2022,187
Net Pass Yards,122,386,13.0,2022,187
Total Yards,209,453,13.0,2022,187
Fumbles-Lost,0-0,1-0,13.0,2022,187
Turnovers,0,0,13.0,2022,187
Penalties-Yards,7-82,12-80,13.0,2022,187
Third Down Conv.,4-14,3-11,13.0,2022,187
Fourth Down Conv.,1-2,3-3,13.0,2022,187
Time of Possession,27:27,32:33,13.0,2022,187
