Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Lions,27.0,25.2,24.46,0.74,0.0,3.84,7.22,-4.57,3.39,0.8,-5.09,3.89,0.0,-1.27,3.27,13.0,2022,184
Jaguars,-27.0,-3.84,-7.22,4.57,-3.39,-25.2,-24.46,-0.74,0.0,-0.8,-3.89,5.09,1.27,0.0,-3.27,13.0,2022,184
