Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Kenny Pickett,PIT,0,0,0,0,0,13.0,2022,188
Najee Harris,PIT,1,1,6,0,6,13.0,2022,188
Benny Snell Jr.,PIT,1,1,11,0,11,13.0,2022,188
Steven Sims,PIT,2,0,0,0,0,13.0,2022,188
Jaylen Warren,PIT,2,2,14,0,7,13.0,2022,188
Derek Watt,PIT,1,1,3,0,3,13.0,2022,188
Gunner Olszewski,PIT,0,0,0,0,0,13.0,2022,188
Pat Freiermuth,PIT,5,3,76,0,57,13.0,2022,188
Diontae Johnson,PIT,11,5,60,0,20,13.0,2022,188
Connor Heyward,PIT,1,1,17,1,17,13.0,2022,188
Zach Gentry,PIT,1,1,8,0,8,13.0,2022,188
George Pickens,PIT,2,1,2,0,2,13.0,2022,188
Marcus Mariota,ATL,0,0,0,0,0,13.0,2022,188
Cordarrelle Patterson,ATL,0,0,0,0,0,13.0,2022,188
Tyler Allgeier,ATL,0,0,0,0,0,13.0,2022,188
Caleb Huntley,ATL,0,0,0,0,0,13.0,2022,188
Drake London,ATL,12,6,95,0,37,13.0,2022,188
Anthony Firkser,ATL,2,2,24,0,15,13.0,2022,188
Parker Hesse,ATL,1,1,16,0,16,13.0,2022,188
Olamide Zaccheaus,ATL,5,2,13,0,10,13.0,2022,188
Damiere Byrd,ATL,1,1,12,0,12,13.0,2022,188
MyCole Pruitt,ATL,1,1,7,1,7,13.0,2022,188
KhaDarel Hodge,ATL,2,0,0,0,0,13.0,2022,188
