Unnamed: 0,PIT,ATL,week,year,game_id
First Downs,22,18,13.0,2022,188
Rush-Yds-TDs,37-154-0,28-146-0,13.0,2022,188
Cmp-Att-Yd-TD-INT,16-28-197-1-0,13-24-167-1-1,13.0,2022,188
Sacked-Yards,0-0,1-7,13.0,2022,188
Net Pass Yards,197,160,13.0,2022,188
Total Yards,351,306,13.0,2022,188
Fumbles-Lost,1-0,0-0,13.0,2022,188
Turnovers,0,1,13.0,2022,188
Penalties-Yards,7-30,6-48,13.0,2022,188
Third Down Conv.,6-12,3-10,13.0,2022,188
Fourth Down Conv.,0-0,1-1,13.0,2022,188
Time of Possession,32:55,27:05,13.0,2022,188
