Quarter,Time,Tm,Detail,BUF,NWE,week,year,game_id
1.0,8:02,Bills,Tyler Bass 48 yard field goal,3,0,13.0,2022,181
,4:46,Patriots,Marcus Jones 48 yard pass from Mac Jones (Nick Folk kick),3,7,13.0,2022,181
2.0,14:56,Bills,Stefon Diggs 8 yard pass from Josh Allen (Tyler Bass kick),10,7,13.0,2022,181
,5:27,Bills,Gabriel Davis 8 yard pass from Josh Allen (Tyler Bass kick),17,7,13.0,2022,181
4.0,14:31,Bills,Devin Singletary 1 yard rush (Tyler Bass kick),24,7,13.0,2022,181
,1:53,Patriots,Nick Folk 39 yard field goal,24,10,13.0,2022,181
