Quarter,Time,Tm,Detail,TEN,PHI,week,year,game_id
1.0,12:03,Eagles,DeVonta Smith 34 yard pass from Jalen Hurts (Jake Elliott kick),0,7,13.0,2022,187
,2:47,Titans,Treylon Burks 25 yard pass from Ryan Tannehill (Randy Bullock kick),7,7,13.0,2022,187
2.0,13:55,Eagles,A.J. Brown 40 yard pass from Jalen Hurts (Jake Elliott kick),7,14,13.0,2022,187
,3:28,Titans,Randy Bullock 36 yard field goal,10,14,13.0,2022,187
,0:51,Eagles,Jalen Hurts 2 yard rush (Jake Elliott kick),10,21,13.0,2022,187
3.0,12:07,Eagles,A.J. Brown 29 yard pass from Jalen Hurts (Jake Elliott kick),10,28,13.0,2022,187
4.0,11:27,Eagles,Miles Sanders 3 yard rush (Jake Elliott kick),10,35,13.0,2022,187
