Unnamed: 0,GNB,MIN,week,year,game_id
First Downs,21,19,1.0,2022,12
Rush-Yds-TDs,18-111-1,28-126-0,1.0,2022,12
Cmp-Att-Yd-TD-INT,26-39-260-0-1,23-32-277-2-0,1.0,2022,12
Sacked-Yards,4-33,1-8,1.0,2022,12
Net Pass Yards,227,269,1.0,2022,12
Total Yards,338,395,1.0,2022,12
Fumbles-Lost,1-1,0-0,1.0,2022,12
Turnovers,2,0,1.0,2022,12
Penalties-Yards,2-10,3-20,1.0,2022,12
Third Down Conv.,3-9,4-13,1.0,2022,12
Fourth Down Conv.,0-2,1-1,1.0,2022,12
Time of Possession,28:37,31:23,1.0,2022,12
