Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,1.0,2022,15
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, returned by KaVontae Turpin for 14 yards (tackle by K.J. Britt)",0.0,-0.28,1.0,2022,15
1.0,14:56,1.0,10.0,DAL 14,0.0,0.0,Dak Prescott pass complete short left to Dalton Schultz for 7 yards (tackle by Jamel Dean),-0.28,0.28,1.0,2022,15
1.0,14:19,2.0,3.0,DAL 21,0.0,0.0,Ezekiel Elliott up the middle for 7 yards (tackle by Lavonte David),0.28,0.81,1.0,2022,15
1.0,13:48,1.0,10.0,DAL 28,0.0,0.0,Tony Pollard up the middle for -8 yards (tackle by Shaquil Barrett),0.81,-0.82,1.0,2022,15
1.0,13:09,2.0,18.0,DAL 20,0.0,0.0,Dak Prescott pass complete short right to Dennis Houston for 11 yards (tackle by Devin White),-0.82,-0.03,1.0,2022,15
1.0,12:35,3.0,7.0,DAL 31,0.0,0.0,Dak Prescott pass complete deep middle to CeeDee Lamb for 16 yards (tackle by Logan Ryan),-0.03,2.06,1.0,2022,15
1.0,12:13,1.0,10.0,DAL 47,0.0,0.0,Ezekiel Elliott right end for 6 yards (tackle by Devin White and Logan Ryan),2.06,2.33,1.0,2022,15
1.0,11:38,2.0,4.0,TAM 47,0.0,0.0,Ezekiel Elliott right tackle for 5 yards (tackle by Akiem Hicks and Anthony Nelson),2.33,2.79,1.0,2022,15
1.0,11:07,1.0,10.0,TAM 42,0.0,0.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Carlton Davis),2.79,2.24,1.0,2022,15
1.0,11:07,2.0,10.0,TAM 42,0.0,0.0,Ezekiel Elliott right tackle for 2 yards (tackle by Lavonte David),2.24,1.82,1.0,2022,15
1.0,10:26,3.0,8.0,TAM 40,0.0,0.0,Dak Prescott pass complete short left to Noah Brown for 9 yards (tackle by Antoine Winfield and Lavonte David),1.82,3.51,1.0,2022,15
1.0,9:49,1.0,10.0,TAM 31,0.0,0.0,Tony Pollard right end for -1 yards (tackle by Logan Hall),3.51,2.83,1.0,2022,15
1.0,9:13,2.0,11.0,TAM 32,0.0,0.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,2.83,2.15,1.0,2022,15
1.0,9:10,3.0,11.0,TAM 32,0.0,0.0,Dak Prescott pass incomplete short right intended for Dalton Schultz,2.15,1.24,1.0,2022,15
1.0,9:06,4.0,11.0,TAM 32,0.0,3.0,Brett Maher 51 yard field goal good,1.24,3.0,1.0,2022,15
