Quarter,Time,Tm,Detail,IND,HOU,week,year,game_id
1.0,5:13,Colts,Rodrigo Blankenship 45 yard field goal,3,0,1.0,2022,6
2.0,7:50,Texans,Ka'imi Fairbairn 45 yard field goal,3,3,1.0,2022,6
,2:37,Texans,O.J. Howard 16 yard pass from Davis Mills (Ka'imi Fairbairn kick),3,10,1.0,2022,6
3.0,12:17,Texans,Ka'imi Fairbairn 43 yard field goal,3,13,1.0,2022,6
,7:16,Texans,O.J. Howard 22 yard pass from Davis Mills (Ka'imi Fairbairn kick),3,20,1.0,2022,6
4.0,10:44,Colts,Rodrigo Blankenship 27 yard field goal,6,20,1.0,2022,6
,7:42,Colts,Jonathan Taylor 2 yard rush (Rodrigo Blankenship kick),13,20,1.0,2022,6
,1:54,Colts,Michael Pittman Jr. 15 yard pass from Matt Ryan (Rodrigo Blankenship kick),20,20,1.0,2022,6
