Quarter,Time,Tm,Detail,PIT,CIN,week,year,game_id
1,12:43,Steelers,Minkah Fitzpatrick 31 yard interception return (Chris Boswell kick),7,0,1.0,2022,5
,7:17,Bengals,Evan McPherson 59 yard field goal,7,3,1.0,2022,5
,2:25,Steelers,Chris Boswell 20 yard field goal,10,3,1.0,2022,5
2,8:46,Steelers,Najee Harris 1 yard pass from Mitchell Trubisky (Chris Boswell kick),17,3,1.0,2022,5
,0:14,Bengals,Evan McPherson 26 yard field goal,17,6,1.0,2022,5
3,4:41,Bengals,Tyler Boyd 2 yard pass from Joe Burrow (Mike Thomas pass from Joe Burrow),17,14,1.0,2022,5
4,11:13,Steelers,Chris Boswell 48 yard field goal,20,14,1.0,2022,5
,0:02,Bengals,Ja'Marr Chase 6 yard pass from Joe Burrow (Evan McPherson kick failed),20,20,1.0,2022,5
OT,0:00,Steelers,Chris Boswell 53 yard field goal,23,20,1.0,2022,5
