Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Falcons to receive the opening kickoff.",,,1.0,2022,2
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,2
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Marcus Mariota scrambles right end for 11 yards (tackle by Pete Werner),0.61,1.33,1.0,2022,2
1.0,14:20,1.0,10.0,ATL 36,0.0,0.0,Cordarrelle Patterson left tackle for 6 yards (tackle by Tyrann Mathieu),1.33,1.6,1.0,2022,2
1.0,13:45,2.0,4.0,ATL 42,0.0,0.0,Marcus Mariota pass incomplete short right intended for Kyle Pitts,1.6,0.89,1.0,2022,2
1.0,13:41,3.0,4.0,ATL 42,0.0,0.0,Marcus Mariota pass complete short middle to Parker Hesse for 5 yards (tackle by P.J. Williams),0.89,2.06,1.0,2022,2
1.0,12:58,1.0,10.0,ATL 47,0.0,0.0,Damien Williams right guard for 2 yards (tackle by Kentavius Street and Pete Werner),2.06,1.79,1.0,2022,2
1.0,12:18,2.0,8.0,ATL 49,0.0,0.0,Marcus Mariota pass complete short right to Kyle Pitts for 11 yards (tackle by Bradley Roby),1.79,2.92,1.0,2022,2
1.0,11:37,1.0,10.0,NOR 40,0.0,0.0,Marcus Mariota pass incomplete short left intended for Cordarrelle Patterson,2.92,2.37,1.0,2022,2
1.0,11:34,2.0,10.0,NOR 40,0.0,0.0,Marcus Mariota right end for 5 yards (tackle by Pete Werner),2.37,2.34,1.0,2022,2
1.0,10:54,3.0,5.0,NOR 35,0.0,0.0,"Marcus Mariota pass incomplete deep right intended for Drake London. Penalty on Drew Dalman: Ineligible Downfield Pass, 5 yards (declined)",2.34,0.98,1.0,2022,2
1.0,10:44,4.0,5.0,NOR 35,0.0,3.0,Younghoe Koo 54 yard field goal good,0.98,3.0,1.0,2022,2
1.0,10:40,,,ATL 35,0.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,2
1.0,10:40,1.0,10.0,NOR 25,0.0,3.0,Alvin Kamara right tackle for 1 yard (tackle by AJ Terrell and Rashaan Evans),0.61,0.2,1.0,2022,2
1.0,10:09,2.0,9.0,NOR 26,0.0,3.0,Jameis Winston scrambles right end for 6 yards (tackle by Grady Jarrett),0.2,0.3,1.0,2022,2
1.0,9:28,3.0,3.0,NOR 32,0.0,3.0,Jameis Winston pass incomplete short right intended for Juwan Johnson,0.3,-1.24,1.0,2022,2
1.0,9:25,4.0,3.0,NOR 32,0.0,3.0,"Blake Gillikin punts 58 yards, returned by Avery Williams for 11 yards (tackle by Chase Hansen)",-1.24,-0.34,1.0,2022,2
1.0,9:13,1.0,10.0,ATL 21,0.0,3.0,Damien Williams right tackle for no gain (tackle by Cameron Jordan),0.34,-0.2,1.0,2022,2
1.0,8:38,2.0,10.0,ATL 21,0.0,3.0,Marcus Mariota pass incomplete deep right intended for Cordarrelle Patterson,-0.2,-0.89,1.0,2022,2
1.0,8:34,,,,,,Timeout #1 by Atlanta Falcons,,,1.0,2022,2
1.0,8:34,3.0,10.0,ATL 21,0.0,3.0,Marcus Mariota pass complete short left to Olamide Zaccheaus for 5 yards (tackle by Marcus Maye),-0.89,-1.63,1.0,2022,2
1.0,7:54,4.0,5.0,ATL 26,0.0,3.0,"Bradley Pinion punts 51 yards, fair catch by Deonte Harty at NO-23",-1.63,-0.48,1.0,2022,2
1.0,7:46,1.0,10.0,NOR 23,0.0,3.0,Alvin Kamara left end for 5 yards (tackle by Lorenzo Carter and Grady Jarrett),0.48,0.61,1.0,2022,2
1.0,7:12,2.0,5.0,NOR 28,0.0,3.0,Jameis Winston pass complete short right to Deonte Harty for 4 yards (tackle by Casey Hayward and Richie Grant),0.61,0.43,1.0,2022,2
1.0,6:31,3.0,1.0,NOR 32,0.0,3.0,Taysom Hill right end for 57 yards (tackle by Casey Hayward),0.43,4.84,1.0,2022,2
1.0,5:55,1.0,10.0,ATL 11,0.0,3.0,Jameis Winston pass incomplete short right intended for Juwan Johnson,4.84,4.14,1.0,2022,2
1.0,5:51,2.0,10.0,ATL 11,6.0,3.0,"Taysom Hill right end for 11 yards, touchdown",4.14,7.0,1.0,2022,2
1.0,5:44,,,ATL 15,6.0,3.0,"Penalty on NOR: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,1.0,2022,2
