Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Patriots to receive the opening kickoff.",,,1.0,2022,9
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,9
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Mac Jones pass complete short right to Jakobi Meyers for 9 yards (tackle by Nik Needham),0.61,1.28,1.0,2022,9
1.0,14:28,2.0,1.0,NWE 34,0.0,0.0,Damien Harris left guard for 12 yards (tackle by Nik Needham and Brandon Jones),1.28,1.99,1.0,2022,9
1.0,13:46,1.0,10.0,NWE 46,0.0,0.0,Damien Harris left tackle for 3 yards (tackle by Elandon Roberts),1.99,1.86,1.0,2022,9
1.0,13:01,2.0,7.0,NWE 49,0.0,0.0,Mac Jones pass complete short middle to Damien Harris for 8 yards (tackle by Brandon Jones and Duke Riley),1.86,2.72,1.0,2022,9
1.0,12:21,1.0,10.0,MIA 43,0.0,0.0,Rhamondre Stevenson right end for 8 yards (tackle by Jevon Holland),2.72,3.26,1.0,2022,9
1.0,11:34,2.0,2.0,MIA 35,0.0,0.0,Rhamondre Stevenson up the middle for 2 yards (tackle by Christian Wilkins and John Jenkins),3.26,3.38,1.0,2022,9
1.0,10:48,1.0,10.0,MIA 33,0.0,0.0,Mac Jones pass complete short left to Hunter Henry for 11 yards (tackle by Xavien Howard),3.38,4.11,1.0,2022,9
1.0,10:05,1.0,10.0,MIA 22,0.0,0.0,Mac Jones pass deep right (defended by Xavien Howard) intended for DeVante Parker is intercepted by Jevon Holland in end zone and returned for 31 yards (tackle by Isaiah Wynn),4.11,-0.81,1.0,2022,9
1.0,9:52,1.0,10.0,MIA 28,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,0.81,0.26,1.0,2022,9
1.0,9:47,2.0,10.0,MIA 28,0.0,0.0,Tua Tagovailoa pass complete short left to Alec Ingold for 8 yards (tackle by Jalen Mills),0.26,0.63,1.0,2022,9
1.0,9:05,3.0,2.0,MIA 36,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by Jonathan Jones and Raekwon McMillan),0.63,1.66,1.0,2022,9
1.0,8:23,1.0,10.0,MIA 41,0.0,0.0,Chase Edmonds right tackle for 2 yards (tackle by Matt Judon and Adrian Phillips),1.66,1.39,1.0,2022,9
1.0,7:39,2.0,8.0,MIA 43,0.0,0.0,Chase Edmonds right end for 7 yards (tackle by Jalen Mills),1.39,1.62,1.0,2022,9
1.0,6:54,3.0,1.0,NWE 50,0.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Alec Ingold,1.62,-0.06,1.0,2022,9
1.0,6:48,,,,,,Timeout #1 by New England Patriots,,,1.0,2022,9
1.0,6:48,4.0,1.0,NWE 50,0.0,0.0,"Penalty on Carl Davis: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.06,2.59,1.0,2022,9
1.0,6:48,1.0,10.0,NWE 45,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 23 yards. Tyreek Hill fumbles (forced by Jonathan Jones),2.59,4.11,1.0,2022,9
1.0,6:19,1.0,10.0,NWE 22,0.0,0.0,Chase Edmonds up the middle for 5 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),4.11,4.29,1.0,2022,9
1.0,5:40,2.0,5.0,NWE 17,0.0,0.0,Raheem Mostert right tackle for -1 yards (tackle by Adrian Phillips),4.29,3.4,1.0,2022,9
1.0,5:00,3.0,6.0,NWE 18,0.0,0.0,"Tua Tagovailoa sacked by Deatrich Wise for -7 yards. Tua Tagovailoa fumbles (forced by Deatrich Wise), recovered by Connor Williams at NE-25 and returned for 7 yards",3.4,1.8,1.0,2022,9
1.0,4:10,4.0,13.0,NWE 25,0.0,3.0,Jason Sanders 43 yard field goal good,1.8,3.0,1.0,2022,9
1.0,4:05,,,MIA 35,0.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,9
1.0,4:05,1.0,10.0,NWE 25,0.0,3.0,Rhamondre Stevenson right guard for 7 yards (tackle by Jaelan Phillips and Elandon Roberts),0.61,1.01,1.0,2022,9
