Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bears,9.0,0.67,0.86,-0.86,-2.62,11.26,13.04,-0.96,9.09,-0.42,-1.12,1.9,2.04,-1.21,-2.03,1.0,2022,4
49ers,-9.0,-11.26,-13.04,0.96,-9.09,-0.67,-0.86,0.86,2.62,0.42,-1.9,1.12,1.21,-2.04,2.03,1.0,2022,4
