Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Bills to receive the opening kickoff.",,,1.0,2022,1
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,1
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Jalen Ramsey),0.61,0.87,1.0,2022,1
1.0,14:30,2.0,4.0,BUF 31,0.0,0.0,Josh Allen scrambles right end for 7 yards (tackle by Ernest Jones),0.87,1.47,1.0,2022,1
1.0,13:55,1.0,10.0,BUF 38,0.0,0.0,Devin Singletary right end for 7 yards (tackle by Troy Hill),1.47,1.87,1.0,2022,1
1.0,13:17,2.0,3.0,BUF 45,0.0,0.0,Josh Allen pass complete short right to Devin Singletary for 6 yards (tackle by Bobby Wagner),1.87,2.32,1.0,2022,1
1.0,12:35,1.0,10.0,LAR 49,0.0,0.0,Devin Singletary left tackle for 2 yards (tackle by A'Shawn Robinson and Bobby Wagner),2.32,2.05,1.0,2022,1
1.0,11:57,2.0,8.0,LAR 47,0.0,0.0,Josh Allen pass complete short middle to Stefon Diggs for 12 yards (tackle by Leonard Floyd),2.05,3.25,1.0,2022,1
1.0,11:23,1.0,10.0,LAR 35,0.0,0.0,Zack Moss right end for 1 yard (tackle by Terrell Lewis and Greg Gaines),3.25,2.84,1.0,2022,1
1.0,10:45,2.0,9.0,LAR 34,0.0,0.0,Josh Allen pass complete short right to Zack Moss for 8 yards (tackle by Bobby Wagner),2.84,3.2,1.0,2022,1
1.0,10:03,3.0,1.0,LAR 26,6.0,0.0,"Josh Allen pass complete short right to Gabriel Davis for 26 yards, touchdown",3.2,7.0,1.0,2022,1
1.0,9:56,,,LAR 15,7.0,0.0,Tyler Bass kicks extra point good,0.0,0.0,1.0,2022,1
1.0,9:56,,,BUF 35,7.0,0.0,"Tyler Bass kicks off 65 yards, returned by Brandon Powell for 17 yards (tackle by Jaquan Johnson)",0.0,-0.06,1.0,2022,1
1.0,9:52,1.0,10.0,LAR 17,7.0,0.0,Darrell Henderson up the middle for 5 yards (tackle by Gregory Rousseau),-0.06,0.21,1.0,2022,1
1.0,9:29,2.0,5.0,LAR 22,7.0,0.0,"Penalty on David Edwards: False Start, 5 yards (accepted) (no play)",0.21,-0.58,1.0,2022,1
1.0,9:03,2.0,10.0,LAR 17,7.0,0.0,Darrell Henderson up the middle for 2 yards (tackle by Tremaine Edmunds),-0.58,-1.0,1.0,2022,1
1.0,8:25,3.0,8.0,LAR 19,7.0,0.0,Matthew Stafford pass complete deep right to Cooper Kupp for 23 yards (tackle by Jordan Poyer),-1.0,1.73,1.0,2022,1
1.0,7:45,1.0,10.0,LAR 42,7.0,0.0,Darrell Henderson right guard for 1 yard (tackle by Tim Settle),1.73,1.32,1.0,2022,1
1.0,7:23,2.0,9.0,LAR 43,7.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Dane Jackson),1.32,2.46,1.0,2022,1
1.0,6:49,1.0,10.0,BUF 47,7.0,0.0,Matthew Stafford pass complete short left to Ben Skowronek for 4 yards (tackle by Christian Benford),2.46,2.45,1.0,2022,1
1.0,6:23,2.0,6.0,BUF 43,7.0,0.0,Matthew Stafford sacked by Von Miller for -8 yards,2.45,0.7,1.0,2022,1
1.0,5:55,3.0,14.0,LAR 49,7.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Jordan Poyer),0.7,0.27,1.0,2022,1
1.0,5:15,4.0,8.0,BUF 45,7.0,0.0,"Riley Dixon punts 36 yards, fair catch by Jamison Crowder at BUF-9",0.27,0.38,1.0,2022,1
1.0,5:06,1.0,10.0,BUF 9,7.0,0.0,Devin Singletary right guard for 7 yards (tackle by Troy Hill),-0.38,-0.16,1.0,2022,1
1.0,4:28,2.0,3.0,BUF 16,7.0,0.0,Josh Allen sacked by Aaron Donald for -1 yards,-0.16,-0.72,1.0,2022,1
1.0,3:48,3.0,4.0,BUF 15,7.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Nick Scott),-0.72,0.61,1.0,2022,1
1.0,3:13,1.0,10.0,BUF 25,7.0,0.0,Josh Allen pass complete short left to Jamison Crowder for 11 yards (tackle by Taylor Rapp and Nick Scott),0.61,1.33,1.0,2022,1
1.0,2:35,1.0,10.0,BUF 36,7.0,0.0,Josh Allen pass complete short left to Isaiah McKenzie for 12 yards (tackle by Jalen Ramsey),1.33,2.13,1.0,2022,1
1.0,1:57,1.0,10.0,BUF 48,7.0,0.0,"Josh Allen pass complete short left to Dawson Knox for 5 yards (tackle by Justin Hollins). Penalty on Justin Hollins: Horse Collar Tackle, 15 yards (accepted)",2.13,3.45,1.0,2022,1
1.0,1:25,1.0,10.0,LAR 32,7.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by Bobby Wagner),3.45,3.31,1.0,2022,1
1.0,0:45,2.0,7.0,LAR 29,7.0,0.0,Josh Allen pass short right intended for Isaiah McKenzie is intercepted by Terrell Lewis at LA-24 and returned for no gain (tackle by Isaiah McKenzie),3.31,-0.54,1.0,2022,1
1.0,0:39,1.0,10.0,LAR 24,7.0,0.0,Darrell Henderson left guard for no gain (tackle by Gregory Rousseau),0.54,0.0,1.0,2022,1
1.0,0:17,2.0,10.0,LAR 24,7.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Tremaine Edmunds),0.0,0.1,1.0,2022,1
2.0,15:00,3.0,4.0,LAR 30,7.0,0.0,Matthew Stafford pass complete short left to Darrell Henderson for 1 yard (tackle by Micah Hyde and Christian Benford),0.1,-1.31,1.0,2022,1
2.0,14:20,4.0,3.0,LAR 31,7.0,0.0,"Riley Dixon punts 57 yards, returned by Jamison Crowder for 20 yards (tackle by Jake Hummel)",-1.31,-1.07,1.0,2022,1
2.0,14:08,1.0,10.0,BUF 32,7.0,0.0,Josh Allen pass complete short right to Zack Moss for 2 yards (tackle by Jalen Ramsey),1.07,0.8,1.0,2022,1
2.0,13:36,2.0,8.0,BUF 34,7.0,0.0,"James Cook right tackle for 2 yards. James Cook fumbles (forced by Ernest Jones), recovered by Leonard Floyd at BUF-36 (tackle by Ernest Jones) (tackle by Ernest Jones)",0.8,-3.18,1.0,2022,1
2.0,13:24,1.0,10.0,BUF 36,7.0,0.0,Cam Akers right guard for no gain (tackle by Ed Oliver),3.18,2.64,1.0,2022,1
2.0,12:57,2.0,10.0,BUF 36,7.0,0.0,Matthew Stafford pass short right intended for Tyler Higbee is intercepted by Dane Jackson at BUF-30 and returned for 2 yards (tackle by Tyler Higbee),2.64,-1.07,1.0,2022,1
2.0,12:55,1.0,10.0,BUF 32,7.0,0.0,Josh Allen pass complete short right to Gabriel Davis for 5 yards (tackle by Jordan Fuller),1.07,1.2,1.0,2022,1
2.0,12:30,2.0,5.0,BUF 37,7.0,0.0,Zack Moss right guard for 3 yards (tackle by A'Shawn Robinson),1.2,0.89,1.0,2022,1
2.0,11:49,3.0,2.0,BUF 40,7.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 10 yards (tackle by David Long),0.89,2.26,1.0,2022,1
2.0,11:12,1.0,10.0,LAR 50,7.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 21 yards (tackle by Terrell Lewis),2.26,3.64,1.0,2022,1
2.0,10:27,1.0,10.0,LAR 29,7.0,0.0,Josh Allen pass complete short left to Zack Moss for 4 yards (tackle by Troy Hill),3.64,3.64,1.0,2022,1
2.0,9:44,2.0,6.0,LAR 25,7.0,0.0,Josh Allen pass complete short left to Zack Moss for 2 yards (tackle by Troy Hill),3.64,3.2,1.0,2022,1
2.0,8:55,3.0,4.0,LAR 23,7.0,0.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,3.2,2.0,1.0,2022,1
