Quarter,Time,Down,ToGo,Location,NYG,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Giants to receive the opening kickoff.",,,1.0,2022,13
1.0,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 67 yards, returned by Gary Brightwell for 24 yards (tackle by Joseph Jones and Trenton Cannon)",0.0,0.41,1.0,2022,13
1.0,14:55,1.0,10.0,NYG 22,0.0,0.0,Saquon Barkley right guard for 1 yard (tackle by DeMarcus Walker),0.41,0.0,1.0,2022,13
1.0,14:17,2.0,9.0,NYG 23,0.0,0.0,Daniel Jones left guard for 6 yards (tackle by Amani Hooker),0.0,0.1,1.0,2022,13
1.0,13:31,3.0,3.0,NYG 29,0.0,0.0,Daniel Jones scrambles left end for 2 yards (tackle by David Long),0.1,-1.31,1.0,2022,13
1.0,13:03,4.0,1.0,NYG 31,0.0,0.0,"Jamie Gillan punts 60 yards, returned by Kyle Philips for 46 yards (tackle by Gary Brightwell and Quincy Roche)",-1.31,-2.59,1.0,2022,13
1.0,12:48,1.0,10.0,NYG 45,0.0,0.0,Derrick Henry right end for no gain (tackle by Adoree' Jackson),2.59,2.04,1.0,2022,13
1.0,12:06,2.0,10.0,NYG 45,0.0,0.0,Ryan Tannehill pass complete short middle to Robert Woods for 13 yards (tackle by Xavier McKinney),2.04,3.45,1.0,2022,13
1.0,11:25,1.0,10.0,NYG 32,0.0,0.0,Derrick Henry left guard for 5 yards (tackle by Oshane Ximines and Leonard Williams),3.45,3.58,1.0,2022,13
1.0,10:42,2.0,5.0,NYG 27,0.0,0.0,Ryan Tannehill pass complete short left to Treylon Burks for 20 yards (tackle by Julian Love),3.58,5.6,1.0,2022,13
1.0,9:52,1.0,7.0,NYG 7,0.0,6.0,"Ryan Tannehill pass complete short left to Dontrell Hilliard for 7 yards, touchdown",5.6,7.0,1.0,2022,13
1.0,9:48,,,NYG 15,0.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,1.0,2022,13
1.0,9:48,,,TEN 35,0.0,7.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,13
1.0,9:48,1.0,10.0,NYG 25,0.0,7.0,Daniel Jones pass incomplete short right intended for Sterling Shepard,0.61,0.06,1.0,2022,13
1.0,9:44,2.0,10.0,NYG 25,0.0,7.0,Daniel Jones pass complete short left to Saquon Barkley for 6 yards (tackle by Kristian Fulton),0.06,0.17,1.0,2022,13
1.0,9:10,3.0,4.0,NYG 31,0.0,7.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 5 yards (tackle by Amani Hooker),0.17,1.33,1.0,2022,13
1.0,8:30,1.0,10.0,NYG 36,0.0,7.0,Richie James right end for 2 yards (tackle by Kevin Strong),1.33,1.06,1.0,2022,13
1.0,7:49,2.0,8.0,NYG 38,0.0,7.0,"Daniel Jones sacked by Bud Dupree for -6 yards. Penalty on Chris Myarick: Offensive Holding, 10 yards (declined)",1.06,-0.43,1.0,2022,13
