Unnamed: 0,IND,HOU,week,year,game_id
First Downs,33,20,1.0,2022,6
Rush-Yds-TDs,38-177-1,28-77-0,1.0,2022,6
Cmp-Att-Yd-TD-INT,32-50-352-1-1,23-37-240-2-0,1.0,2022,6
Sacked-Yards,2-12,3-18,1.0,2022,6
Net Pass Yards,340,222,1.0,2022,6
Total Yards,517,299,1.0,2022,6
Fumbles-Lost,5-1,1-1,1.0,2022,6
Turnovers,2,1,1.0,2022,6
Penalties-Yards,7-89,6-40,1.0,2022,6
Third Down Conv.,6-15,5-15,1.0,2022,6
Fourth Down Conv.,0-1,0-0,1.0,2022,6
Time of Possession,39:37,30:23,1.0,2022,6
