Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bills,21.0,13.89,17.16,-3.06,-15.9,10.29,9.73,-0.97,12.22,-3.96,-2.73,1.22,0.0,-1.54,-0.91,1.0,2022,1
Rams,-21.0,-10.29,-9.73,0.97,-12.22,-13.89,-17.16,3.06,15.9,3.96,-1.22,2.73,1.54,0.0,0.91,1.0,2022,1
