Unnamed: 0,NWE,MIA,week,year,game_id
First Downs,17,18,1.0,2022,9
Rush-Yds-TDs,22-78-0,23-65-0,1.0,2022,9
Cmp-Att-Yd-TD-INT,21-30-213-1-1,23-33-270-1-0,1.0,2022,9
Sacked-Yards,2-20,3-28,1.0,2022,9
Net Pass Yards,193,242,1.0,2022,9
Total Yards,271,307,1.0,2022,9
Fumbles-Lost,2-2,2-0,1.0,2022,9
Turnovers,3,0,1.0,2022,9
Penalties-Yards,3-15,4-20,1.0,2022,9
Third Down Conv.,4-9,6-14,1.0,2022,9
Fourth Down Conv.,0-1,1-1,1.0,2022,9
Time of Possession,27:30,32:30,1.0,2022,9
