Quarter,Time,Tm,Detail,LVR,LAC,week,year,game_id
1.0,9:03,Chargers,Dustin Hopkins 43 yard field goal,0,3,1.0,2022,14
,2:29,Raiders,Daniel Carlson 23 yard field goal,3,3,1.0,2022,14
2.0,9:34,Chargers,Zander Horvath 1 yard pass from Justin Herbert (Dustin Hopkins kick),3,10,1.0,2022,14
,0:35,Chargers,DeAndre Carter 23 yard pass from Justin Herbert (Dustin Hopkins kick),3,17,1.0,2022,14
3.0,12:39,Raiders,Brandon Bolden 18 yard pass from Derek Carr (Daniel Carlson kick),10,17,1.0,2022,14
,6:42,Chargers,Gerald Everett 18 yard pass from Justin Herbert (Dustin Hopkins kick),10,24,1.0,2022,14
,1:03,Raiders,Daniel Carlson 55 yard field goal,13,24,1.0,2022,14
4.0,4:32,Raiders,Davante Adams 3 yard pass from Derek Carr (pass failed),19,24,1.0,2022,14
