Quarter,Time,Tm,Detail,BUF,LAR,week,year,game_id
1.0,9:56,Bills,Gabriel Davis 26 yard pass from Josh Allen (Tyler Bass kick),7,0,1.0,2022,1
2.0,8:48,Bills,Tyler Bass 41 yard field goal,10,0,1.0,2022,1
,3:00,Rams,Cooper Kupp 4 yard pass from Matthew Stafford (Matt Gay kick),10,7,1.0,2022,1
,0:00,Rams,Matt Gay 57 yard field goal,10,10,1.0,2022,1
3.0,7:59,Bills,Isaiah McKenzie 7 yard pass from Josh Allen (Tyler Bass kick),17,10,1.0,2022,1
4.0,13:27,Bills,Josh Allen 4 yard rush (Tyler Bass kick),24,10,1.0,2022,1
,9:25,Bills,Stefon Diggs 53 yard pass from Josh Allen (Tyler Bass kick),31,10,1.0,2022,1
