Unnamed: 0,TAM,DAL,week,year,game_id
First Downs,18,12,1.0,2022,15
Rush-Yds-TDs,33-152-0,18-71-0,1.0,2022,15
Cmp-Att-Yd-TD-INT,18-27-212-1-1,21-42-198-0-1,1.0,2022,15
Sacked-Yards,2-17,4-25,1.0,2022,15
Net Pass Yards,195,173,1.0,2022,15
Total Yards,347,244,1.0,2022,15
Fumbles-Lost,0-0,0-0,1.0,2022,15
Turnovers,1,1,1.0,2022,15
Penalties-Yards,5-25,10-73,1.0,2022,15
Third Down Conv.,5-14,3-15,1.0,2022,15
Fourth Down Conv.,0-0,2-5,1.0,2022,15
Time of Possession,32:42,27:18,1.0,2022,15
