Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Patrick Mahomes,KAN,30,39,360,5,0,0,0,35,144.2,1.0,2022,11
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Noah Gray,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Jody Fortson,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Justin Watson,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,1.0,2022,11
Kyler Murray,ARI,22,34,193,2,0,2,18,26,99.3,1.0,2022,11
Trace McSorley,ARI,2,4,12,0,0,1,8,10,56.2,1.0,2022,11
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
James Conner,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
A.J. Green,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,1.0,2022,11
