Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Aaron Rodgers,GNB,22,34,195,0,1,4,33,23,67.6,1.0,2022,12
Jordan Love,GNB,4,5,65,0,0,0,0,25,118.7,1.0,2022,12
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Christian Watson,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Sammy Watkins,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Juwann Winfree,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Tyler Davis,GNB,0,0,0,0,0,0,0,0,,1.0,2022,12
Kirk Cousins,MIN,23,32,277,2,0,1,8,64,118.9,1.0,2022,12
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Ben Ellefson,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,1.0,2022,12
