Unnamed: 0,KAN,ARI,week,year,game_id
First Downs,33,18,1.0,2022,11
Rush-Yds-TDs,27-128-1,22-103-1,1.0,2022,11
Cmp-Att-Yd-TD-INT,30-39-360-5-0,24-38-205-2-0,1.0,2022,11
Sacked-Yards,0-0,3-26,1.0,2022,11
Net Pass Yards,360,179,1.0,2022,11
Total Yards,488,282,1.0,2022,11
Fumbles-Lost,5-1,3-0,1.0,2022,11
Turnovers,1,0,1.0,2022,11
Penalties-Yards,3-25,5-49,1.0,2022,11
Third Down Conv.,5-8,3-12,1.0,2022,11
Fourth Down Conv.,1-1,3-4,1.0,2022,11
Time of Possession,34:42,25:18,1.0,2022,11
