Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Trey Lance,SFO,13,54,0,6.0,38,2.9,16,1.2,2,6.5,1.0,2022,4
Jeff Wilson,SFO,9,22,0,,12,1.3,10,1.1,0,,1.0,2022,4
Deebo Samuel,SFO,8,52,1,3.0,34,4.3,18,2.3,1,8.0,1.0,2022,4
Elijah Mitchell,SFO,6,41,0,2.0,28,4.7,13,2.2,1,6.0,1.0,2022,4
Brandon Aiyuk,SFO,1,7,0,0.0,4,4.0,3,3.0,0,,1.0,2022,4
David Montgomery,CHI,17,26,0,0.0,19,1.1,7,0.4,1,17.0,1.0,2022,4
Justin Fields,CHI,11,28,0,3.0,15,1.4,13,1.2,1,11.0,1.0,2022,4
Khalil Herbert,CHI,9,45,1,3.0,32,3.6,13,1.4,1,9.0,1.0,2022,4
