Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Colts to receive the opening kickoff.",,,1.0,2022,6
1,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,6
1,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor right guard for 4 yards (tackle by Jalen Pitre and Jonathan Greenard),0.61,0.6,1.0,2022,6
1,14:31,2.0,6.0,IND 29,0.0,0.0,Matt Ryan pass complete short right to Jonathan Taylor for 3 yards (tackle by Jerry Hughes and Roy Lopez),0.6,0.3,1.0,2022,6
1,13:52,3.0,3.0,IND 32,0.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Jonathan Owens and Christian Kirksey),0.3,-1.11,1.0,2022,6
1,13:17,4.0,1.0,IND 34,0.0,0.0,Matt Haack punts 44 yards out of bounds,-1.11,-0.41,1.0,2022,6
1,13:08,1.0,10.0,HOU 22,0.0,0.0,Davis Mills pass complete short right to Brandin Cooks for 4 yards (tackle by Kenny Moore),0.41,0.41,1.0,2022,6
1,12:36,2.0,6.0,HOU 26,0.0,0.0,Dameon Pierce up the middle for 4 yards (tackle by Kenny Moore and E.J. Speed),0.41,0.23,1.0,2022,6
1,12:12,3.0,2.0,HOU 30,0.0,0.0,Davis Mills pass incomplete short right intended for Brandin Cooks,0.23,-1.37,1.0,2022,6
1,12:08,4.0,2.0,HOU 30,0.0,0.0,"Cameron Johnston punts 44 yards, fair catch by Nyheim Hines at IND-26",-1.37,-0.67,1.0,2022,6
1,11:59,1.0,10.0,IND 26,0.0,0.0,Jonathan Taylor up the middle for no gain (tackle by Maliek Collins),0.67,0.13,1.0,2022,6
1,11:18,2.0,10.0,IND 26,0.0,0.0,Matt Ryan pass complete short middle to Michael Pittman for 17 yards (tackle by Derek Stingley),0.13,1.8,1.0,2022,6
1,10:44,1.0,10.0,IND 43,0.0,0.0,Jonathan Taylor left end for 2 yards (tackle by Derek Stingley and Maliek Collins),1.8,1.52,1.0,2022,6
1,10:12,2.0,8.0,IND 45,0.0,0.0,Jonathan Taylor right guard for 7 yards (tackle by Demone Harris and Christian Kirksey),1.52,1.75,1.0,2022,6
1,9:28,3.0,1.0,HOU 48,0.0,0.0,Matt Ryan scrambles right end for 2 yards (tackle by Kamu Grugier-Hill),1.75,2.52,1.0,2022,6
1,8:49,1.0,10.0,HOU 46,0.0,0.0,Matt Ryan pass incomplete short right intended for Parris Campbell (defended by Kevin Pierre-Louis),2.52,1.98,1.0,2022,6
1,8:43,2.0,10.0,HOU 46,0.0,0.0,Nyheim Hines up the middle for 3 yards (tackle by Kamu Grugier-Hill),1.98,1.68,1.0,2022,6
1,8:02,3.0,7.0,HOU 43,0.0,0.0,Matt Ryan pass complete short middle to Michael Pittman for 8 yards (tackle by Desmond King),1.68,3.25,1.0,2022,6
1,7:26,1.0,10.0,HOU 35,0.0,0.0,Jonathan Taylor right tackle for 5 yards (tackle by Roy Lopez and Kevin Pierre-Louis),3.25,3.38,1.0,2022,6
1,6:41,2.0,5.0,HOU 30,0.0,0.0,Jonathan Taylor up the middle for -2 yards (tackle by Desmond King),3.38,2.41,1.0,2022,6
1,5:59,3.0,7.0,HOU 32,0.0,0.0,Matt Ryan pass complete short middle to Jonathan Taylor for 5 yards (tackle by Kamu Grugier-Hill and Christian Kirksey),2.41,1.8,1.0,2022,6
1,5:18,4.0,2.0,HOU 27,3.0,0.0,Rodrigo Blankenship 45 yard field goal good,1.8,3.0,1.0,2022,6
1,5:13,,,IND 35,3.0,0.0,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,6
1,5:13,1.0,10.0,HOU 25,3.0,0.0,Davis Mills pass complete short left to Brandin Cooks for 2 yards (tackle by Zaire Franklin),0.61,0.33,1.0,2022,6
