Unnamed: 0,SFO,CHI,week,year,game_id
First Downs,17,15,1.0,2022,4
Rush-Yds-TDs,37-176-1,37-99-1,1.0,2022,4
Cmp-Att-Yd-TD-INT,13-28-164-0-1,8-17-121-2-1,1.0,2022,4
Sacked-Yards,2-9,2-16,1.0,2022,4
Net Pass Yards,155,105,1.0,2022,4
Total Yards,331,204,1.0,2022,4
Fumbles-Lost,2-1,0-0,1.0,2022,4
Turnovers,2,1,1.0,2022,4
Penalties-Yards,12-99,3-24,1.0,2022,4
Third Down Conv.,8-17,5-14,1.0,2022,4
Fourth Down Conv.,0-2,0-0,1.0,2022,4
Time of Possession,33:28,26:32,1.0,2022,4
