Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,1.0,2022,16
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, returned by DeeJay Dallas for 30 yards (tackle by Caden Sterns)",0.0,0.94,1.0,2022,16
1.0,14:54,1.0,10.0,SEA 30,0.0,0.0,Rashaad Penny right end for no gain (tackle by Alex Singleton),0.94,0.39,1.0,2022,16
1.0,14:17,2.0,10.0,SEA 30,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Patrick Surtain and Justin Simmons),0.39,0.63,1.0,2022,16
1.0,13:38,3.0,3.0,SEA 37,0.0,0.0,Geno Smith pass complete short middle to Tyler Lockett for 17 yards (tackle by Kareem Jackson),0.63,2.52,1.0,2022,16
1.0,13:02,1.0,10.0,DEN 46,0.0,0.0,"Penalty on Phil Haynes: False Start, 5 yards (accepted) (no play)",2.52,2.19,1.0,2022,16
1.0,12:52,1.0,15.0,SEA 49,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 9 yards (tackle by Patrick Surtain),2.19,2.52,1.0,2022,16
1.0,12:19,2.0,6.0,DEN 42,0.0,0.0,Rashaad Penny left guard for 4 yards (tackle by Bradley Chubb and Mike Purcell),2.52,2.35,1.0,2022,16
1.0,11:37,3.0,2.0,DEN 38,0.0,6.0,"Geno Smith pass complete short left to Will Dissly for 38 yards, touchdown",2.35,7.0,1.0,2022,16
1.0,11:26,,,DEN 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,1.0,2022,16
1.0,11:26,,,SEA 35,0.0,7.0,"Jason Myers kicks off 68 yards, returned by Montrell Washington for 14 yards (tackle by Tanner Muse)",0.0,-0.37,1.0,2022,16
1.0,11:21,1.0,10.0,DEN 11,0.0,7.0,Russell Wilson pass incomplete short left intended for Andrew Beck,-0.37,-0.78,1.0,2022,16
1.0,11:18,2.0,10.0,DEN 11,0.0,7.0,Russell Wilson pass complete short right to Andrew Beck for 25 yards (tackle by Michael Jackson),-0.78,1.33,1.0,2022,16
1.0,10:26,1.0,10.0,DEN 36,0.0,7.0,Javonte Williams right end for 9 yards (tackle by Cody Barton),1.33,2.01,1.0,2022,16
1.0,9:43,2.0,1.0,DEN 45,0.0,7.0,Russell Wilson pass complete deep right to Andrew Beck for 27 yards (tackle by Jordyn Brooks),2.01,3.71,1.0,2022,16
1.0,9:04,1.0,10.0,SEA 28,0.0,7.0,Javonte Williams right end for 10 yards (tackle by Jamal Adams),3.71,4.37,1.0,2022,16
1.0,8:34,1.0,10.0,SEA 18,0.0,7.0,Russell Wilson pass incomplete short right intended for Javonte Williams (defended by Jamal Adams),4.37,3.8,1.0,2022,16
1.0,8:25,2.0,10.0,SEA 18,0.0,7.0,"Penalty on Cameron Fleming: False Start, 5 yards (accepted) (no play)",3.8,3.15,1.0,2022,16
1.0,8:25,2.0,15.0,SEA 23,0.0,7.0,Melvin Gordon right guard for 5 yards (tackle by Shelby Harris and Justin Coleman),3.15,3.05,1.0,2022,16
1.0,7:41,3.0,10.0,SEA 18,0.0,7.0,Russell Wilson pass complete short middle to Melvin Gordon for 6 yards (tackle by Justin Coleman),3.05,2.71,1.0,2022,16
1.0,6:59,4.0,4.0,SEA 12,3.0,7.0,Brandon McManus 30 yard field goal good,2.71,3.0,1.0,2022,16
1.0,6:55,,,DEN 35,3.0,7.0,"Brandon McManus kicks off 61 yards, returned by DeeJay Dallas for 17 yards (tackle by Aaron Patrick and Tyrie Cleveland)",0.0,0.34,1.0,2022,16
1.0,6:48,1.0,10.0,SEA 21,3.0,7.0,"Geno Smith pass incomplete deep right intended for Will Dissly. Penalty on Ronald Darby: Defensive Pass Interference, 21 yards (accepted) (no play)",0.34,1.73,1.0,2022,16
1.0,6:40,1.0,10.0,SEA 42,3.0,7.0,"Geno Smith pass complete short middle to Noah Fant for 13 yards (tackle by Alex Singleton and Justin Simmons). Penalty on Kareem Jackson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.73,3.58,1.0,2022,16
1.0,6:19,1.0,10.0,DEN 30,3.0,7.0,Travis Homer right guard for 2 yards (tackle by Alex Singleton and DeShawn Williams),3.58,3.3,1.0,2022,16
1.0,5:33,2.0,8.0,DEN 28,3.0,7.0,Rashaad Penny left guard for 12 yards (tackle by Justin Simmons and Kareem Jackson),3.3,4.51,1.0,2022,16
1.0,4:49,1.0,10.0,DEN 16,3.0,7.0,Rashaad Penny up the middle for 4 yards (tackle by Alex Singleton and DeShawn Williams),4.51,4.57,1.0,2022,16
1.0,4:10,2.0,6.0,DEN 12,3.0,7.0,Geno Smith pass complete short right to Rashaad Penny for 4 yards (tackle by Kareem Jackson),4.57,4.62,1.0,2022,16
1.0,3:30,3.0,2.0,DEN 8,3.0,7.0,Geno Smith pass complete short right to Noah Fant for 1 yard (tackle by Jonas Griffith),4.62,3.01,1.0,2022,16
1.0,3:00,4.0,1.0,DEN 7,3.0,7.0,Geno Smith up the middle for no gain (tackle by Dre'Mont Jones and Justin Simmons),3.01,0.38,1.0,2022,16
1.0,2:55,1.0,10.0,DEN 7,3.0,7.0,Javonte Williams right tackle for 13 yards (tackle by Jamal Adams),-0.38,0.28,1.0,2022,16
1.0,2:16,1.0,10.0,DEN 20,3.0,7.0,Russell Wilson pass complete short right to Albert Okwuegbunam for 12 yards (tackle by Jamal Adams),0.28,1.07,1.0,2022,16
1.0,1:34,1.0,10.0,DEN 32,3.0,7.0,Russell Wilson pass complete short middle to Albert Okwuegbunam for 7 yards (tackle by Justin Coleman and Jordyn Brooks),1.07,1.47,1.0,2022,16
1.0,0:54,2.0,3.0,DEN 39,3.0,7.0,Melvin Gordon left guard for 8 yards (tackle by Jordyn Brooks and Quandre Diggs),1.47,2.06,1.0,2022,16
1.0,0:09,1.0,10.0,DEN 47,3.0,7.0,"Penalty on Garett Bolles: False Start, 5 yards (accepted) (no play)",2.06,1.73,1.0,2022,16
2.0,15:00,1.0,15.0,DEN 42,3.0,7.0,Russell Wilson sacked by Uchenna Nwosu for -2 yards,1.73,0.57,1.0,2022,16
2.0,14:14,2.0,17.0,DEN 40,3.0,7.0,Melvin Gordon left guard for 5 yards (tackle by Cody Barton and Jordyn Brooks),0.57,0.56,1.0,2022,16
2.0,13:29,3.0,12.0,DEN 45,3.0,7.0,"Russell Wilson pass incomplete short middle intended for Albert Okwuegbunam (defended by Uchenna Nwosu). Penalty on Garett Bolles: Illegal Formation, 5 yards (declined)",0.56,-0.39,1.0,2022,16
2.0,13:23,4.0,12.0,DEN 45,3.0,7.0,"Corliss Waitman punts 36 yards, fair catch by Tyler Lockett at SEA-19",-0.39,-0.15,1.0,2022,16
2.0,13:14,1.0,10.0,SEA 19,3.0,7.0,Rashaad Penny right guard for 1 yard (tackle by Ronald Darby),0.15,-0.2,1.0,2022,16
2.0,12:39,2.0,9.0,SEA 20,3.0,7.0,Geno Smith pass complete short middle to D.K. Metcalf for 8 yards (tackle by Patrick Surtain),-0.2,0.1,1.0,2022,16
2.0,12:02,3.0,1.0,SEA 28,3.0,7.0,Geno Smith pass complete short right to Rashaad Penny for 3 yards (tackle by K'Waun Williams),0.1,1.0,1.0,2022,16
2.0,11:28,1.0,10.0,SEA 31,3.0,7.0,"Geno Smith pass complete short right to D'Wayne Eskridge for no gain (tackle by Jonathon Cooper). Penalty on Jonathon Cooper: Taunting / Defense, 15 yards (accepted)",1.0,1.99,1.0,2022,16
2.0,11:01,1.0,10.0,SEA 46,3.0,7.0,"Rashaad Penny right tackle for 26 yards. Rashaad Penny fumbles (forced by Ronald Darby), recovered by Austin Blythe at DEN-26",1.99,3.84,1.0,2022,16
2.0,10:13,1.0,10.0,DEN 26,3.0,7.0,"Geno Smith pass complete short right to Travis Homer for no gain (tackle by Randy Gregory). Penalty on Randy Gregory: Illegal Contact, 5 yards (accepted) (no play)",3.84,4.17,1.0,2022,16
2.0,9:51,1.0,10.0,DEN 21,3.0,7.0,Rashaad Penny left tackle for 2 yards (tackle by D.J. Jones),4.17,3.9,1.0,2022,16
2.0,9:14,2.0,8.0,DEN 19,3.0,7.0,"Geno Smith scrambles up the middle for no gain (tackle by Bradley Chubb and Kareem Jackson). Penalty on Phil Haynes: Offensive Holding, 10 yards (accepted) (no play)",3.9,2.55,1.0,2022,16
2.0,8:48,2.0,18.0,DEN 29,3.0,7.0,Geno Smith pass complete short left to D.K. Metcalf for -8 yards (tackle by Baron Browning),2.55,0.83,1.0,2022,16
2.0,8:04,3.0,26.0,DEN 37,3.0,7.0,Geno Smith pass complete short middle to Marquise Goodwin for 6 yards (tackle by Alex Singleton and Justin Simmons),0.83,1.32,1.0,2022,16
2.0,7:25,4.0,20.0,DEN 31,3.0,10.0,Jason Myers 49 yard field goal good,1.32,3.0,1.0,2022,16
2.0,7:20,,,SEA 35,3.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,16
2.0,7:20,1.0,10.0,DEN 25,3.0,10.0,Javonte Williams right guard for -1 yards (tackle by Michael Jackson),0.61,-0.07,1.0,2022,16
2.0,6:34,2.0,11.0,DEN 24,3.0,10.0,Russell Wilson pass complete short right to Javonte Williams for 9 yards (tackle by Jordyn Brooks),-0.07,0.43,1.0,2022,16
2.0,5:46,3.0,2.0,DEN 33,9.0,10.0,"Russell Wilson pass complete deep left to Jerry Jeudy for 67 yards, touchdown",0.43,7.0,1.0,2022,16
2.0,5:34,,,SEA 15,10.0,10.0,Brandon McManus kicks extra point good,0.0,0.0,1.0,2022,16
2.0,5:34,,,DEN 35,10.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,16
2.0,5:34,1.0,10.0,SEA 25,10.0,10.0,Geno Smith pass complete short right to Will Dissly for 3 yards (tackle by Jonas Griffith),0.61,0.47,1.0,2022,16
2.0,4:50,2.0,7.0,SEA 28,10.0,10.0,"Rashaad Penny up the middle for 4 yards (tackle by Ronald Darby). Penalty on D.J. Jones: Defensive Holding, 5 yards (accepted)",0.47,1.4,1.0,2022,16
2.0,4:20,1.0,10.0,SEA 37,10.0,10.0,Geno Smith pass incomplete short left intended for Rashaad Penny,1.4,0.86,1.0,2022,16
2.0,4:15,2.0,10.0,SEA 37,10.0,10.0,Geno Smith pass complete deep left to Marquise Goodwin for 16 yards,0.86,2.46,1.0,2022,16
2.0,3:37,1.0,10.0,DEN 47,10.0,10.0,Geno Smith pass complete short right to Colby Parkinson for 18 yards (tackle by Justin Simmons),2.46,3.64,1.0,2022,16
2.0,3:07,1.0,10.0,DEN 29,10.0,10.0,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Jonas Griffith),3.64,3.64,1.0,2022,16
2.0,2:31,2.0,6.0,DEN 25,10.0,16.0,"Geno Smith pass complete deep right to Colby Parkinson for 25 yards, touchdown",3.64,7.0,1.0,2022,16
