Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,1.0,2022,11
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Clyde Edwards-Helaire up the middle for 9 yards (tackle by Budda Baker and Byron Murphy),0.61,1.28,1.0,2022,11
1.0,14:27,2.0,1.0,KAN 34,0.0,0.0,Patrick Mahomes scrambles left end for 1 yard (tackle by Marco Wilson),1.28,1.27,1.0,2022,11
1.0,13:52,1.0,10.0,KAN 35,0.0,0.0,Clyde Edwards-Helaire up the middle for 7 yards (tackle by Budda Baker and Michael Dogbe),1.27,1.6,1.0,2022,11
1.0,13:15,2.0,4.0,KAN 42,0.0,0.0,Clyde Edwards-Helaire left end for 18 yards (tackle by Budda Baker),1.6,2.92,1.0,2022,11
1.0,12:36,1.0,10.0,ARI 40,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,2.92,2.37,1.0,2022,11
1.0,12:30,2.0,10.0,ARI 40,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Budda Baker),2.37,3.58,1.0,2022,11
1.0,11:54,1.0,10.0,ARI 30,0.0,0.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 3 yards (tackle by Devon Kennard),3.58,3.44,1.0,2022,11
1.0,11:10,2.0,7.0,ARI 27,0.0,0.0,Clyde Edwards-Helaire up the middle for no gain (tackle by Byron Murphy),3.44,2.74,1.0,2022,11
1.0,10:28,3.0,7.0,ARI 27,0.0,0.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 18 yards (tackle by Isaiah Simmons),2.74,5.14,1.0,2022,11
1.0,9:47,1.0,9.0,ARI 9,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,5.14,4.38,1.0,2022,11
1.0,9:43,2.0,9.0,ARI 9,6.0,0.0,"Patrick Mahomes pass complete short left to Travis Kelce for 9 yards, touchdown",4.38,7.0,1.0,2022,11
1.0,9:37,,,ARI 15,7.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2022,11
1.0,9:37,,,KAN 35,7.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
1.0,9:37,1.0,10.0,ARI 25,7.0,0.0,"Kyler Murray right end for -1 yards (tackle by Nick Bolton) Penalty on ARI: Illegal Shift, 5 yards (declined)",0.61,-0.07,1.0,2022,11
1.0,9:16,2.0,11.0,ARI 24,7.0,0.0,Kyler Murray scrambles left end for 10 yards (tackle by Nick Bolton),-0.07,0.56,1.0,2022,11
1.0,8:36,3.0,1.0,ARI 34,7.0,0.0,Kyler Murray sacked by L'Jarius Sneed for -7 yards,0.56,-1.57,1.0,2022,11
1.0,8:00,4.0,8.0,ARI 27,7.0,0.0,"Andy Lee punts 52 yards, returned by Mecole Hardman for 3 yards (tackle by Stephen Anderson). Penalty on Deon Bush: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.57,0.28,1.0,2022,11
