Unnamed: 0,PHI,DET,week,year,game_id
First Downs,27,23,1.0,2022,7
Rush-Yds-TDs,39-216-4,28-181-3,1.0,2022,7
Cmp-Att-Yd-TD-INT,18-32-243-0-0,21-37-215-2-1,1.0,2022,7
Sacked-Yards,1-4,1-10,1.0,2022,7
Net Pass Yards,239,205,1.0,2022,7
Total Yards,455,386,1.0,2022,7
Fumbles-Lost,0-0,1-0,1.0,2022,7
Turnovers,0,1,1.0,2022,7
Penalties-Yards,10-61,7-65,1.0,2022,7
Third Down Conv.,10-17,9-14,1.0,2022,7
Fourth Down Conv.,2-3,1-1,1.0,2022,7
Time of Possession,31:34,28:26,1.0,2022,7
